{-2.717037, 0.470678, 0.980980, -0.228381, 0}	{-1.736057, 0.242297, 0.755030, -0.670902, 0}	{-0.981028, -0.428606, 0.757190, -0.571404, 0}	{-0.223837, -1.000010, 0.679374, -0.803323, 0}	{-1.752670, 2.594744, 0.568027, -0.829059, 1}	{-1.184643, 1.765686, 0.607631, -0.909149, 1}	{-0.577012, 0.856537, 0.750818, -0.679940, 1}	{0.173807, 0.176596, 0.466978, -0.900505, 1}
{2.730015, 0.898555, 0.701576, -0.627351, 0}	{-2.568409, 0.271204, 0.834526, -0.457366, 0}	{-1.733883, -0.186162, 0.898447, -0.552924, 0}	{-0.835436, -0.739086, 0.959137, -0.363283, 0}	{-1.645953, 2.725778, 0.697993, -0.806658, 1}	{-0.947959, 1.919120, 0.327447, -0.970610, 1}	{-0.620512, 0.948510, 0.465909, -0.779171, 1}	{-0.154603, 0.169339, 0.587936, -0.721138, 1}
{-2.931230, 0.824137, 0.351202, -0.953758, 0}	{-2.580028, -0.129621, 0.855485, -0.398149, 0}	{-1.724543, -0.527770, 0.904535, -0.382411, 0}	{-0.820009, -0.910181, 0.785763, -0.435681, 0}	{-1.622142, 2.408642, 0.943338, -0.568956, 1}	{-0.678803, 1.839686, 0.575611, -0.844726, 1}	{-0.103193, 0.994960, 0.554143, -0.994227, 1}	{0.450950, 0.000733, 0.341803, -0.947553, 1}
{2.933240, 0.930725, 0.768705, -0.650603, 0}	{-2.298055, 0.280122, 0.746930, -0.600554, 0}	{-1.551125, -0.320432, 0.779593, -0.583091, 0}	{-0.771532, -0.903523, 0.816202, -0.320508, 0}	{-1.053117, 2.769788, 0.441691, -0.863953, 1}	{-0.611426, 1.905835, 0.463204, -0.902425, 1}	{-0.148222, 1.003410, 0.777014, -0.694453, 1}	{0.628791, 0.308957, 0.485333, -0.768020, 1}
{2.928934, 0.663589, 0.801369, -0.547421, 0}	{-2.269697, 0.116168, 0.949797, -0.416635, 0}	{-1.319900, -0.300467, 0.909229, -0.521609, 0}	{-0.410671, -0.822076, 0.862502, -0.202337, 0}	{-1.211543, 2.844966, 0.186586, -0.970736, 1}	{-1.024956, 1.874231, 0.766112, -0.585718, 1}	{-0.258844, 1.288513, 0.779481, -0.655328, 1}	{0.520637, 0.633185, 0.562692, -0.840005, 1}
{-2.906593, 0.933350, 0.933935, -0.406475, 0}	{-1.972658, 0.526875, 0.799422, -0.529285, 0}	{-1.173235, -0.002410, 0.690497, -0.619532, 0}	{-0.482738, -0.621942, 0.876612, -0.392952, 0}	{-1.695301, 2.259858, 0.783301, -0.578047, 1}	{-0.912000, 1.681811, 0.737407, -0.559986, 1}	{-0.174593, 1.121825, 0.747809, -0.569346, 1}	{0.573216, 0.552479, 0.722101, -0.616014, 1}
{2.824294, 0.834101, 0.841884, -0.593937, 0}	{-2.333822, 0.240163, 0.991584, -0.384061, 0}	{-1.342238, -0.143897, 0.900260, -0.600814, 0}	{-0.441978, -0.744711, 0.844880, -0.659348, 0}	{-1.930925, 1.804820, 1.033790, -0.242705, 1}	{-0.897135, 1.562115, 0.827339, -0.542902, 1}	{-0.069797, 1.019213, 0.749506, -0.640463, 1}	{0.679709, 0.378749, 0.906569, -0.409111, 1}
{2.736923, 0.229765, 0.985879, -0.271886, 0}	{-2.277198, -0.042121, 0.941164, -0.249618, 0}	{-1.336034, -0.291738, 0.825641, -0.473762, 0}	{-0.510394, -0.765500, 0.737048, -0.590302, 0}	{-1.215007, 2.659839, 0.377199, -0.929841, 1}	{-0.837808, 1.729998, 0.751134, -0.745867, 1}	{-0.086674, 0.984131, 0.902270, -0.525724, 1}	{0.815596, 0.458407, 0.917236, -0.480510, 1}
{2.645800, 0.327068, 1.040466, 0.059282, 0}	{-2.313734, 0.386350, 0.934781, -0.258342, 0}	{-1.378953, 0.128008, 0.853609, -0.647411, 0}	{-0.525344, -0.519403, 0.816534, -0.522395, 0}	{-1.587961, 2.255973, 0.802613, -0.724240, 1}	{-0.785348, 1.531733, 0.670531, -0.707754, 1}	{-0.114818, 0.823979, 0.809072, -0.632842, 1}	{0.694255, 0.191137, 0.860243, -0.330720, 1}
{2.292957, 0.702876, 0.907839, -0.382126, 0}	{-2.799204, 0.320749, 0.949439, -0.348322, 0}	{-1.849765, -0.027572, 1.007888, -0.479846, 0}	{-0.841877, -0.507419, 0.987648, -0.410947, 0}	{-1.370143, 2.273376, 0.756511, -0.525211, 1}	{-0.613632, 1.748166, 0.698619, -0.677099, 1}	{0.084987, 1.071067, 0.741326, -0.664794, 1}	{0.826313, 0.406272, 0.677836, -0.556197, 1}
{2.340621, 0.490519, 0.929628, -0.115487, 0}	{-2.729750, 0.375032, 0.968224, -0.269764, 0}	{-1.761526, 0.105268, 0.880113, -0.298459, 0}	{-0.881413, -0.193191, 0.660413, -0.752121, 0}	{-0.616597, 2.858437, 0.308660, -0.939561, 1}	{-0.307938, 1.918876, 0.415135, -0.853438, 1}	{0.107198, 1.065438, 0.609373, -0.934228, 1}	{0.716571, 0.131210, 0.681102, -0.536793, 1}
{2.334070, 0.475067, 0.967026, 0.286382, 0}	{-2.698903, 0.761450, 0.984316, -0.388309, 0}	{-1.714587, 0.373141, 0.855528, -0.489944, 0}	{-0.859059, -0.116803, 0.711232, -0.665239, 0}	{-0.555003, 2.729977, 0.288057, -0.977186, 1}	{-0.266946, 1.752791, 0.388746, -0.960076, 1}	{0.121800, 0.792715, 0.581803, -0.722070, 1}	{0.703603, 0.070645, 0.561435, -0.718491, 1}
{2.442932, 0.855635, 0.993933, -0.298187, 0}	{-2.563134, 0.557448, 0.917504, -0.165659, 0}	{-1.645630, 0.391789, 0.894569, -0.387200, 0}	{-0.751061, 0.004590, 0.814403, -0.491044, 0}	{-0.456820, 2.771210, 0.214348, -0.887273, 1}	{-0.242472, 1.883937, 0.196462, -0.976429, 1}	{-0.046010, 0.907507, 0.385951, -0.915152, 1}	{0.339941, -0.007645, 0.734536, -0.705990, 1}
{2.268632, 1.248283, 0.908450, -0.034385, 0}	{-2.822918, 1.213898, 1.023435, -0.258146, 0}	{-1.799484, 0.955753, 0.833947, -0.432496, 0}	{-0.965537, 0.523257, 0.516486, -0.830786, 0}	{0.109410, 2.864044, -0.134239, -0.984491, 1}	{-0.024829, 1.879553, -0.021572, -0.969086, 1}	{-0.046400, 0.910467, 0.264825, -0.893196, 1}	{0.218425, 0.017270, 0.517649, -0.947042, 1}
{2.233527, 1.446338, 0.941227, -0.237077, 0}	{-2.825246, 1.209261, 0.851489, -0.593601, 0}	{-1.973756, 0.615661, 0.802473, -0.645962, 0}	{-1.171283, -0.030301, 0.811632, -0.545620, 0}	{-0.053105, 2.777339, -0.075513, -0.829973, 1}	{-0.128618, 1.947366, -0.114141, -0.977326, 1}	{-0.242759, 0.970040, 0.198717, -0.904005, 1}	{-0.044041, 0.066036, 0.128270, -1.030587, 1}
{2.249382, 1.345435, 0.895432, -0.511690, 0}	{-2.855187, 0.833745, 1.000749, -0.334005, 0}	{-1.854438, 0.499740, 0.901010, -0.543822, 0}	{-0.953427, -0.044082, 0.542995, -0.808852, 0}	{-0.765103, 2.674722, 0.452277, -0.748459, 1}	{-0.312826, 1.926263, 0.522079, -0.889340, 1}	{0.209252, 1.036923, 0.050108, -0.975264, 1}	{0.259360, 0.061659, 0.669611, -0.724539, 1}
{2.485764, 1.768653, 0.749662, -0.674357, 0}	{-2.764574, 1.094297, 0.753496, -0.562567, 0}	{-2.011078, 0.531730, 0.904234, -0.385469, 0}	{-1.106845, 0.146261, 1.025507, -0.373907, 0}	{-0.682394, 2.596881, 0.436290, -0.940098, 1}	{-0.246104, 1.656783, 0.366749, -0.866251, 1}	{0.120645, 0.790532, 0.185646, -0.983757, 1}	{0.306291, -0.193225, 0.185415, -0.887813, 1}
{2.396129, 1.552028, 0.768050, -0.509599, 0}	{-2.835821, 1.042429, 0.879605, -0.669467, 0}	{-1.956216, 0.372962, 0.995496, -0.253695, 0}	{-0.960720, 0.119267, 1.055794, -0.087197, 0}	{-1.097982, 2.272318, 0.661410, -0.686850, 1}	{-0.436572, 1.585468, 0.396564, -0.861897, 1}	{-0.040008, 0.723571, 0.502038, -0.793610, 1}	{0.462029, -0.070039, 0.495627, -0.868573, 1}
