{-1.590442, 0.039304, 0.895581, 0.356934, 0}	{-0.694861, 0.396238, 1.170797, 0.295223, 0}	{0.475936, 0.691462, 0.998327, -0.123414, 0}	{1.474263, 0.568048, 1.057342, -0.203602, 0}	{0.825856, -2.412784, 0.244818, -1.022293, 1}	{1.070674, 2.564923, 0.481533, -0.935970, 1}	{1.552207, 1.628953, 0.358115, -0.979364, 1}	{1.910323, 0.649589, 0.491373, -0.734739, 1}
{-1.537258, -0.139304, 1.117377, 0.084837, 0}	{-0.419881, -0.054467, 0.876215, 0.037609, 0}	{0.456335, -0.016858, 0.945754, 0.355112, 0}	{1.402089, 0.338254, 0.687035, 0.736411, 0}	{1.324312, -2.353852, 0.092142, -1.006588, 1}	{1.416454, 2.639560, 0.194742, -1.015574, 1}	{1.611196, 1.623986, 0.341925, -0.910825, 1}	{1.953122, 0.713161, 0.352649, -0.926894, 1}
{-1.301068, -0.823078, 0.638945, 0.848397, 0}	{-0.662123, 0.025319, 0.840036, 0.659709, 0}	{0.177913, 0.685028, 0.725411, 0.596877, 0}	{0.903323, 1.281906, 0.629469, 0.799247, 0}	{0.857237, -2.463450, 0.204053, -0.954818, 1}	{1.061290, 2.581732, 0.530753, -0.848686, 1}	{1.592043, 1.733047, 0.337794, -0.824890, 1}	{1.929837, 0.908156, 0.543319, -0.871582, 1}
{-0.680860, 0.043453, 0.731364, 0.602000, 0}	{0.050504, 0.645453, 0.823081, 0.524352, 0}	{0.873585, 1.169804, 1.049634, 0.274255, 0}	{1.923219, 1.444060, 1.026398, 0.110839, 0}	{0.270242, -2.715847, 0.509050, -0.856678, 1}	{0.779292, 2.427474, 0.543202, -0.754548, 1}	{1.322494, 1.672926, 0.661950, -0.813819, 1}	{1.984444, 0.859107, 0.717680, -0.792576, 1}
{-0.546667, 0.341020, 1.055721, 0.132716, 0}	{0.509053, 0.473735, 1.003136, 0.194042, 0}	{1.512189, 0.667777, 0.492603, 0.798069, 0}	{2.004793, 1.465846, 0.708410, 0.711583, 0}	{1.163155, -2.411533, 0.247381, -0.931565, 1}	{1.410535, 2.656902, 0.237788, -1.028000, 1}	{1.648323, 1.628902, 0.432855, -0.912624, 1}	{2.081179, 0.716278, 0.387868, -0.956548, 1}
{-0.824102, 0.804185, 1.112133, 0.288241, 0}	{0.288032, 1.092426, 0.942588, 0.216522, 0}	{1.230620, 1.308947, 0.949769, 0.266032, 0}	{2.180389, 1.574979, 1.104553, 0.310640, 0}	{-0.131589, -2.990820, 0.990242, -0.418676, 1}	{0.858653, 2.590504, 0.692648, -0.625673, 1}	{1.551302, 1.964831, 0.542708, -0.917795, 1}	{2.094010, 1.047036, 0.588308, -0.903605, 1}
{-0.656226, 0.431839, 1.021843, 0.299749, 0}	{0.365617, 0.731588, 1.037307, 0.296115, 0}	{1.402924, 1.027704, 0.972993, 0.239208, 0}	{2.375916, 1.266911, 0.924457, 0.336515, 0}	{0.229264, -2.369496, 0.761903, -0.771418, 1}	{0.991168, 2.859086, 0.592502, -0.919648, 1}	{1.583670, 1.939438, 0.782521, -0.729996, 1}	{2.366190, 1.209442, 0.312072, -0.833800, 1}
{0.693423, -0.957302, 0.353268, 0.864320, 0}	{1.046691, -0.092982, 0.557273, 0.834224, 0}	{1.603964, 0.741242, 0.738824, 0.645646, 0}	{2.342788, 1.386888, 0.896911, 0.608154, 0}	{0.329367, -2.136289, 0.815994, -0.466112, 1}	{1.145361, -2.602401, 0.692456, -0.613114, 1}	{1.837818, 2.784485, 0.707800, -0.688472, 1}	{2.545618, 2.096013, 0.805925, -0.503154, 1}
{1.044536, -1.054624, 0.510885, 0.834579, 0}	{1.555421, -0.220046, 0.464515, 0.876628, 0}	{2.019935, 0.656582, 0.304898, 1.009419, 0}	{2.324833, 1.666001, -0.245551, 0.963763, 0}	{-0.030530, -2.060251, 0.710852, -0.958382, 1}	{0.680321, 2.981367, 0.602047, -0.508818, 1}	{1.282368, 2.472548, 0.793068, -0.682593, 1}	{2.075437, 1.789955, 0.912904, -0.559841, 1}
{2.103022, -1.189381, 0.037061, 0.952485, 0}	{2.140083, -0.236895, -0.002168, 1.057361, 0}	{2.137915, 0.820466, -0.180753, 1.061096, 0}	{1.957162, 1.881562, -0.032218, 1.090713, 0}	{0.028860, -2.167538, 0.716311, -0.694834, 1}	{0.745171, -2.862373, 0.594590, -0.808452, 1}	{1.339761, 2.329176, 0.734402, -0.694508, 1}	{2.074162, 1.634668, 0.808236, -0.476024, 1}
{1.404385, -0.665992, 0.625248, 0.727998, 0}	{2.029632, 0.062007, 0.442681, 0.843241, 0}	{2.472313, 0.905248, 0.288981, 0.835106, 0}	{2.761294, 1.740353, 0.537946, 0.776906, 0}	{0.524889, -1.969151, 0.689668, -0.779227, 1}	{1.214557, -2.748377, 0.748182, -0.703338, 1}	{1.962739, 2.548284, 0.470393, -0.867485, 1}	{2.433132, 1.680799, 0.555223, -0.868660, 1}
{2.841193, -1.004948, -0.073118, 0.906734, 0}	{2.768075, -0.098214, 0.216174, 0.878974, 0}	{2.984249, 0.780761, 0.004590, 0.906139, 0}	{2.988839, 1.686900, -0.041689, 0.922449, 0}	{1.143751, -1.642520, 0.092247, -0.962878, 1}	{1.235998, -2.605398, 0.264975, -0.937013, 1}	{1.500973, 2.457589, 0.234004, -0.910611, 1}	{1.734976, 1.546977, 0.308745, -0.894744, 1}
{2.426367, -0.909069, 0.514169, 0.720090, 0}	{2.940535, -0.188979, 0.416349, 0.849929, 0}	{-2.643115, 0.660950, 0.370194, 0.894786, 0}	{-2.272921, 1.555736, 0.604760, 0.813492, 0}	{2.023373, -1.480711, -0.390389, -0.849795, 1}	{1.632984, -2.330506, -0.301269, -0.990370, 1}	{1.331715, 2.679124, -0.016934, -0.970593, 1}	{1.314781, 1.708531, 0.005690, -0.991635, 1}
