{2.096298, -1.302433, 0.919637, -0.149550, 0}	{-2.984064, -1.451983, 1.061058, -0.030640, 0}	{-1.923007, -1.482623, 0.991563, 0.146450, 0}	{-0.931444, -1.336173, 1.047565, 0.072262, 0}	{0.109273, -0.729314, 0.620107, 0.667153, 1}	{0.729380, -0.062161, 0.768050, 0.608795, 1}	{1.497429, 0.546634, 0.744909, 0.648996, 1}	{2.242338, 1.195630, 0.913672, 0.520187, 1}
{1.474797, -1.589982, 1.114678, -0.069541, 0}	{2.589475, -1.659524, 0.911307, 0.161147, 0}	{-2.499217, -1.498377, 1.012536, -0.133414, 0}	{-1.486682, -1.631792, 1.098383, -0.042697, 0}	{-0.007320, -0.352986, 1.063535, 0.065343, 1}	{1.056215, -0.287643, 0.769184, 0.527759, 1}	{1.825399, 0.240116, 0.564452, 0.849870, 1}	{2.389851, 1.089986, 0.552978, 0.751640, 1}
{1.513483, -1.421148, 0.933241, -0.180373, 0}	{2.446724, -1.601521, 0.924086, -0.197840, 0}	{-2.629190, -1.799361, 0.957182, -0.269421, 0}	{-1.672008, 1.931218, 1.078435, -0.395981, 0}	{-0.139352, -0.229935, 0.869734, 0.334497, 1}	{0.730382, 0.104562, 1.055393, 0.389590, 1}	{1.785775, 0.494152, 0.888071, 0.545896, 1}	{2.673846, 1.040048, 0.768577, 0.625429, 1}
{1.930740, -1.559228, 1.017119, 0.026894, 0}	{2.947858, -1.532335, 0.990565, -0.320979, 0}	{-2.061577, -1.853313, 0.899143, -0.372749, 0}	{-1.162434, 1.773938, 0.927670, -0.113373, 0}	{0.692931, -0.298248, 0.763986, 0.701236, 1}	{1.456917, 0.402988, 0.762349, 0.544164, 1}	{2.219266, 0.947152, 0.842983, 0.436580, 1}	{-2.937751, 1.383732, 0.856968, 0.433901, 1}
{2.398593, -0.350501, 0.717597, -0.688947, 0}	{-2.883809, -1.039448, 0.826575, -0.639468, 0}	{-2.057234, -1.678917, 0.819573, -0.659441, 0}	{-1.237661, 1.661642, 0.946366, -0.540562, 0}	{0.340465, 0.194515, 1.040644, 0.227389, 1}	{1.381110, 0.421904, 0.838872, 0.377488, 1}	{2.219982, 0.799391, 1.024709, 0.240468, 1}	{-2.755309, 1.039860, 1.000991, 0.172200, 1}
{-2.931916, -0.324807, 0.619481, -0.799800, 0}	{-2.312435, -1.124607, 0.589572, -0.753517, 0}	{-1.722863, -1.878124, 0.636805, -0.593514, 0}	{-1.086058, 1.528362, 0.765944, -0.654925, 0}	{0.587077, -0.449754, 0.802485, 0.773455, 1}	{1.389562, 0.323701, 0.878395, 0.488490, 1}	{2.267957, 0.812191, 0.883436, 0.337684, 1}	{-2.848607, 1.149875, 0.849702, 0.599075, 1}
{-2.607742, 0.005110, 0.230645, -0.917167, 0}	{-2.377097, -0.912057, 0.340185, -0.995526, 0}	{-2.036912, -1.907584, 0.565256, -0.787243, 0}	{-1.471656, 1.305173, 0.758443, -0.648638, 0}	{0.769852, -0.194429, 0.805519, 0.658350, 1}	{1.575371, 0.463922, 0.953641, 0.246584, 1}	{2.529012, 0.710506, 0.863286, 0.403268, 1}	{-2.607702, 1.113774, 0.793886, 0.738605, 1}
{2.971033, -0.262136, 0.463178, -1.020057, 0}	{-2.565789, -1.282194, 0.339299, -0.891209, 0}	{-2.226490, 1.826597, 0.421398, -0.867216, 0}	{-1.805092, 0.959381, 0.623588, -0.731595, 0}	{1.393687, -0.434688, 0.523483, 0.844825, 1}	{1.917170, 0.410137, 0.460270, 0.692720, 1}	{2.377440, 1.102857, 0.894217, 0.512168, 1}	{-2.728342, 1.615026, 0.961561, 0.178417, 1}
{2.091689, -0.625919, 0.605965, -0.776779, 0}	{2.697654, -1.402698, 0.884308, -0.497692, 0}	{-2.418038, -1.900390, 0.920804, -0.209911, 0}	{-1.497235, 1.889699, 0.906577, -0.413190, 0}	{1.683585, -0.546535, 0.523832, 0.908592, 1}	{2.207416, 0.362057, 0.927678, 0.418447, 1}	{-2.864906, 0.780504, 0.636832, 0.825887, 1}	{-2.228073, 1.606391, 0.640531, 0.809546, 1}
{1.584490, -1.177024, 0.934056, -0.103504, 0}	{2.518546, -1.280528, 0.877008, 0.002784, 0}	{-2.604446, -1.277744, 1.072252, -0.339999, 0}	{-1.532194, -1.617743, 0.730868, -0.631577, 0}	{1.842040, -0.445744, 0.771155, 0.559446, 1}	{2.613194, 0.113702, 0.875184, 0.573776, 1}	{-2.511621, 0.687477, 0.379622, 0.881933, 1}	{-2.131999, 1.569410, 0.339448, 1.092521, 1}
