{2.096298, -1.302433, 0.050000, 0}	{-2.984064, -1.451983, 0.050000, 0}	{-1.923007, -1.482623, 0.050000, 0}	{-0.931444, -1.336173, 0.050000, 0}	{0.116121, -1.263911, 0.050000, 0}	{0.109273, -0.729314, 0.050000, 1}	{0.729380, -0.062161, 0.050000, 1}	{1.497429, 0.546634, 0.050000, 1}	{2.242338, 1.195630, 0.050000, 1}	{-2.843990, 1.715816, 0.050000, 1}
{1.474797, -1.589982, 0.050000, 0}	{2.589475, -1.659524, 0.050000, 0}	{-2.499217, -1.498377, 0.050000, 0}	{-1.486682, -1.631792, 0.050000, 0}	{-0.388299, -1.674489, 0.050000, 0}	{-0.007320, -0.352986, 0.050000, 1}	{1.056215, -0.287643, 0.050000, 1}	{1.825399, 0.240116, 0.050000, 1}	{2.389851, 1.089986, 0.050000, 1}	{2.942828, 1.841625, 0.050000, 1}
{1.513483, -1.421148, 0.050000, 0}	{2.446724, -1.601521, 0.050000, 0}	{-2.629190, -1.799361, 0.050000, 0}	{-1.672008, 1.931218, 0.050000, 0}	{-0.593573, 1.535236, 0.050000, 0}	{-0.139352, -0.229935, 0.050000, 1}	{0.730382, 0.104562, 0.050000, 1}	{1.785775, 0.494152, 0.050000, 1}	{2.673846, 1.040048, 0.050000, 1}	{-2.557577, 1.665477, 0.050000, 1}
{1.930740, -1.559228, 0.050000, 0}	{2.947858, -1.532335, 0.050000, 0}	{-2.061577, -1.853313, 0.050000, 0}	{-1.162434, 1.773938, 0.050000, 0}	{-0.234764, 1.660565, 0.050000, 0}	{0.692931, -0.298248, 0.050000, 1}	{1.456917, 0.402988, 0.050000, 1}	{2.219266, 0.947152, 0.050000, 1}	{-2.937751, 1.383732, 0.050000, 1}	{-2.080783, 1.817632, 0.050000, 1}
{2.398593, -0.350501, 0.050000, 0}	{-2.883809, -1.039448, 0.050000, 0}	{-2.057234, -1.678917, 0.050000, 0}	{-1.237661, 1.661642, 0.050000, 0}	{-0.291295, 1.121080, 0.050000, 0}	{0.340465, 0.194515, 0.050000, 1}	{1.381110, 0.421904, 0.050000, 1}	{2.219982, 0.799391, 0.050000, 1}	{-2.755309, 1.039860, 0.050000, 1}	{-1.754318, 1.212059, 0.050000, 1}
{-2.931916, -0.324807, 0.050000, 0}	{-2.312435, -1.124607, 0.050000, 0}	{-1.722863, -1.878124, 0.050000, 0}	{-1.086058, 1.528362, 0.050000, 0}	{-0.320114, 0.873438, 0.050000, 0}	{0.587077, -0.449754, 0.050000, 1}	{1.389562, 0.323701, 0.050000, 1}	{2.267957, 0.812191, 0.050000, 1}	{-2.848607, 1.149875, 0.050000, 1}	{-1.998905, 1.748950, 0.050000, 1}
{-2.607742, 0.005110, 0.050000, 0}	{-2.377097, -0.912057, 0.050000, 0}	{-2.036912, -1.907584, 0.050000, 0}	{-1.471656, 1.305173, 0.050000, 0}	{-0.713213, 0.656535, 0.050000, 0}	{0.769852, -0.194429, 0.050000, 1}	{1.575371, 0.463922, 0.050000, 1}	{2.529012, 0.710506, 0.050000, 1}	{-2.607702, 1.113774, 0.050000, 1}	{-1.813816, 1.852379, 0.050000, 1}
{2.971033, -0.262136, 0.050000, 0}	{-2.565789, -1.282194, 0.050000, 0}	{-2.226490, 1.826597, 0.050000, 0}	{-1.805092, 0.959381, 0.050000, 0}	{-1.181504, 0.227786, 0.050000, 0}	{1.393687, -0.434688, 0.050000, 1}	{1.917170, 0.410137, 0.050000, 1}	{2.377440, 1.102857, 0.050000, 1}	{-2.728342, 1.615026, 0.050000, 1}	{-1.766781, 1.793442, 0.050000, 1}
{2.091689, -0.625919, 0.050000, 0}	{2.697654, -1.402698, 0.050000, 0}	{-2.418038, -1.900390, 0.050000, 0}	{-1.497235, 1.889699, 0.050000, 0}	{-0.590658, 1.476509, 0.050000, 0}	{1.683585, -0.546535, 0.050000, 1}	{2.207416, 0.362057, 0.050000, 1}	{-2.864906, 0.780504, 0.050000, 1}	{-2.228073, 1.606391, 0.050000, 1}	{-1.587542, -1.584063, 0.050000, 1}
{1.584490, -1.177024, 0.050000, 0}	{2.518546, -1.280528, 0.050000, 0}	{-2.604446, -1.277744, 0.050000, 0}	{-1.532194, -1.617743, 0.050000, 0}	{-0.801326, 1.750680, 0.050000, 0}	{1.842040, -0.445744, 0.050000, 1}	{2.613194, 0.113702, 0.050000, 1}	{-2.511621, 0.687477, 0.050000, 1}	{-2.131999, 1.569410, 0.050000, 1}	{-1.792551, -1.338069, 0.050000, 1}
