{2.792203, -1.510089, 0.500000, 0}	{3.277715, -0.720775, 0.500000, 0}	{3.586283, 0.190835, 0.500000, 0}	{3.629486, 1.106797, 0.500000, 0}	{3.678351, 2.164286, 0.500000, 0}	{1.553431, 0.027339, 0.500000, 1}	{1.474044, -0.899128, 0.500000, 1}	{1.493675, -1.932474, 0.500000, 1}	{1.046034, -2.876139, 0.500000, 1}	{0.947932, -3.960245, 0.500000, 1}	{1.000626, 4.973608, 0.500000, 2}	{0.528275, -4.163189, 0.500000, 2}	{0.010887, -3.327135, 0.500000, 2}	{-0.452435, -2.405579, 0.500000, 2}	{-0.826041, -1.492931, 0.500000, 2}	{-4.506742, 2.215336, 0.500000, 3}	{4.550404, 2.264077, 0.500000, 3}	{3.666473, 2.657532, 0.500000, 3}	{2.743433, 3.013248, 0.500000, 3}	{1.785662, 2.938473, 0.500000, 3}	{-1.042552, -1.992754, 0.500000, 4}	{-1.040079, -2.978638, 0.500000, 4}	{-1.017293, -3.950906, 0.500000, 4}	{-1.038448, -4.847574, 0.500000, 4}	{-0.570637, 4.207529, 0.500000, 4}
{3.214367, -1.559490, 0.500000, 0}	{3.381322, -0.595111, 0.500000, 0}	{3.842059, 0.371828, 0.500000, 0}	{4.000960, 1.348837, 0.500000, 0}	{4.108746, 2.379036, 0.500000, 0}	{1.863107, -0.156007, 0.500000, 1}	{1.522771, -1.049737, 0.500000, 1}	{1.286003, -2.045613, 0.500000, 1}	{0.990046, -2.919321, 0.500000, 1}	{0.575583, -3.804133, 0.500000, 1}	{1.159773, -4.902523, 0.500000, 2}	{0.425948, -4.287957, 0.500000, 2}	{-0.079564, -3.456382, 0.500000, 2}	{-0.441783, -2.551096, 0.500000, 2}	{-0.788598, -1.591596, 0.500000, 2}	{-4.786074, 1.528361, 0.500000, 3}	{4.133315, 1.682795, 0.500000, 3}	{3.187830, 1.978649, 0.500000, 3}	{2.423699, 2.506220, 0.500000, 3}	{1.525810, 3.033722, 0.500000, 3}	{-1.335665, -1.976211, 0.500000, 4}	{-1.363573, -3.067558, 0.500000, 4}	{-0.979697, -4.063560, 0.500000, 4}	{-0.911753, 4.934369, 0.500000, 4}	{-0.734318, 3.931527, 0.500000, 4}
{3.225824, -1.305531, 0.500000, 0}	{3.359694, -0.298405, 0.500000, 0}	{3.644243, 0.666422, 0.500000, 0}	{3.901449, 1.613115, 0.500000, 0}	{3.981523, 2.709702, 0.500000, 0}	{1.588622, -0.278251, 0.500000, 1}	{1.367115, -1.248763, 0.500000, 1}	{1.097363, -2.175273, 0.500000, 1}	{0.770883, -3.184941, 0.500000, 1}	{0.451305, -4.134383, 0.500000, 1}	{0.381338, 4.956426, 0.500000, 2}	{0.379798, -4.019707, 0.500000, 2}	{0.268137, -3.007622, 0.500000, 2}	{0.081311, -1.993251, 0.500000, 2}	{-0.340634, -1.221446, 0.500000, 2}	{-4.713548, 1.549975, 0.500000, 3}	{4.351683, 1.584782, 0.500000, 3}	{3.361208, 1.924201, 0.500000, 3}	{2.333857, 2.202301, 0.500000, 3}	{1.374935, 2.660139, 0.500000, 3}	{-1.208401, -2.047309, 0.500000, 4}	{-0.810359, -2.938551, 0.500000, 4}	{-0.816932, -4.013339, 0.500000, 4}	{-1.040940, 4.935652, 0.500000, 4}	{-1.022951, 3.896017, 0.500000, 4}
{3.837356, -1.502765, 0.500000, 0}	{3.899307, -0.558222, 0.500000, 0}	{3.596104, 0.372434, 0.500000, 0}	{3.669245, 1.309069, 0.500000, 0}	{3.992795, 2.270581, 0.500000, 0}	{1.598364, -0.407910, 0.500000, 1}	{1.406480, -1.432262, 0.500000, 1}	{1.064090, -2.332623, 0.500000, 1}	{0.964278, -3.220134, 0.500000, 1}	{0.516779, -4.132214, 0.500000, 1}	{0.826524, 4.586426, 0.500000, 2}	{0.732459, -4.456024, 0.500000, 2}	{0.442778, -3.493927, 0.500000, 2}	{0.105899, -2.554262, 0.500000, 2}	{-0.021843, -1.618153, 0.500000, 2}	{-4.686027, 1.732398, 0.500000, 3}	{4.399764, 1.528587, 0.500000, 3}	{3.447531, 1.635284, 0.500000, 3}	{2.491862, 1.875232, 0.500000, 3}	{1.518822, 2.289032, 0.500000, 3}	{-0.371943, -1.948216, 0.500000, 4}	{-0.929605, -2.788469, 0.500000, 4}	{-1.094334, -3.826682, 0.500000, 4}	{-0.932582, -4.761573, 0.500000, 4}	{-0.565804, 4.384595, 0.500000, 4}
{4.089727, -1.768431, 0.500000, 0}	{4.088848, -0.665972, 0.500000, 0}	{3.809870, 0.328881, 0.500000, 0}	{3.689132, 1.274311, 0.500000, 0}	{4.150733, 2.220023, 0.500000, 0}	{1.236500, -0.379777, 0.500000, 1}	{1.158607, -1.379164, 0.500000, 1}	{1.039854, -2.351200, 0.500000, 1}	{0.851833, -3.354115, 0.500000, 1}	{0.785416, -4.376194, 0.500000, 1}	{0.898198, 4.550685, 0.500000, 2}	{0.720065, -4.454005, 0.500000, 2}	{0.790001, -3.427606, 0.500000, 2}	{0.460916, -2.575533, 0.500000, 2}	{0.070777, -1.638203, 0.500000, 2}	{-4.832383, 1.960873, 0.500000, 3}	{4.212788, 1.654438, 0.500000, 3}	{3.252082, 1.693267, 0.500000, 3}	{2.254675, 1.750468, 0.500000, 3}	{1.336729, 1.637250, 0.500000, 3}	{-0.066862, -2.091980, 0.500000, 4}	{-0.273249, -3.092870, 0.500000, 4}	{-0.583674, -3.985041, 0.500000, 4}	{-0.833632, -4.848885, 0.500000, 4}	{-0.796874, 4.191632, 0.500000, 4}
{4.265177, -1.789687, 0.500000, 0}	{4.031534, -0.787466, 0.500000, 0}	{3.980252, 0.185016, 0.500000, 0}	{3.747962, 1.137973, 0.500000, 0}	{3.678198, 2.213857, 0.500000, 0}	{1.279786, -0.474576, 0.500000, 1}	{0.982098, -1.409467, 0.500000, 1}	{1.033240, -2.491794, 0.500000, 1}	{1.201059, -3.391828, 0.500000, 1}	{1.397981, -4.426448, 0.500000, 1}	{0.822428, 4.664643, 0.500000, 2}	{0.875013, -4.301953, 0.500000, 2}	{0.684184, -3.370517, 0.500000, 2}	{0.587540, -2.435682, 0.500000, 2}	{-0.043153, -1.608757, 0.500000, 2}	{4.920651, 1.751390, 0.500000, 3}	{4.049653, 1.281975, 0.500000, 3}	{3.142324, 1.396517, 0.500000, 3}	{2.107427, 1.671186, 0.500000, 3}	{0.988287, 1.832066, 0.500000, 3}	{-0.261645, -2.115555, 0.500000, 4}	{-0.051258, -2.905862, 0.500000, 4}	{0.012131, -3.943839, 0.500000, 4}	{-0.288325, 4.991296, 0.500000, 4}	{-0.360837, 3.914267, 0.500000, 4}
{4.615628, -1.900728, 0.500000, 0}	{4.042019, -1.004293, 0.500000, 0}	{3.949686, 0.097262, 0.500000, 0}	{3.817513, 1.125922, 0.500000, 0}	{3.681614, 2.142337, 0.500000, 0}	{1.208591, -0.275537, 0.500000, 1}	{1.107043, -1.320147, 0.500000, 1}	{0.925466, -2.312313, 0.500000, 1}	{1.070074, -3.327716, 0.500000, 1}	{0.931308, -4.386637, 0.500000, 1}	{0.569240, 4.504079, 0.500000, 2}	{0.788497, -4.440001, 0.500000, 2}	{0.813738, -3.402897, 0.500000, 2}	{0.802566, -2.315282, 0.500000, 2}	{0.714136, -1.361376, 0.500000, 2}	{-4.838777, 1.698812, 0.500000, 3}	{4.107052, 1.677891, 0.500000, 3}	{3.081007, 1.513636, 0.500000, 3}	{2.002562, 1.704553, 0.500000, 3}	{0.915404, 1.826075, 0.500000, 3}	{-0.322959, -1.957746, 0.500000, 4}	{-0.158920, -2.963905, 0.500000, 4}	{-0.231646, -4.005840, 0.500000, 4}	{-0.400465, 4.970759, 0.500000, 4}	{-0.576767, 4.022172, 0.500000, 4}
{4.497900, -1.896949, 0.500000, 0}	{4.121188, -0.947198, 0.500000, 0}	{3.823828, 0.114793, 0.500000, 0}	{3.672225, 1.001846, 0.500000, 0}	{3.927360, 1.857933, 0.500000, 0}	{1.407886, -0.258536, 0.500000, 1}	{0.950668, -1.286008, 0.500000, 1}	{0.665195, -2.188575, 0.500000, 1}	{0.911712, -3.079632, 0.500000, 1}	{1.051527, -4.026817, 0.500000, 1}	{0.374957, 4.659547, 0.500000, 2}	{0.709717, -4.363130, 0.500000, 2}	{0.649058, -3.363849, 0.500000, 2}	{0.800898, -2.355649, 0.500000, 2}	{0.979258, -1.357246, 0.500000, 2}	{4.959705, 1.904493, 0.500000, 3}	{3.947082, 1.799940, 0.500000, 3}	{2.975613, 2.051887, 0.500000, 3}	{2.062360, 2.537989, 0.500000, 3}	{1.238508, 2.800197, 0.500000, 3}	{-0.550909, -2.142503, 0.500000, 4}	{-0.132985, -3.089245, 0.500000, 4}	{-0.028006, -4.204090, 0.500000, 4}	{-0.388387, 4.931634, 0.500000, 4}	{-0.837736, 3.973224, 0.500000, 4}
{4.108665, -2.057663, 0.500000, 0}	{4.149255, -0.946823, 0.500000, 0}	{4.204001, 0.008117, 0.500000, 0}	{3.942400, 1.010740, 0.500000, 0}	{3.968221, 1.922637, 0.500000, 0}	{1.374881, -0.335387, 0.500000, 1}	{1.267862, -1.392908, 0.500000, 1}	{1.108586, -2.263444, 0.500000, 1}	{0.930199, -3.279168, 0.500000, 1}	{0.860488, -4.417467, 0.500000, 1}	{0.336382, 4.483546, 0.500000, 2}	{0.586312, -4.520759, 0.500000, 2}	{0.776776, -3.528253, 0.500000, 2}	{0.816063, -2.544465, 0.500000, 2}	{0.702074, -1.472219, 0.500000, 2}	{4.982963, 1.651486, 0.500000, 3}	{3.979019, 1.867206, 0.500000, 3}	{2.927494, 2.301682, 0.500000, 3}	{1.920803, 2.507283, 0.500000, 3}	{1.025095, 2.865494, 0.500000, 3}	{-0.434158, -2.305525, 0.500000, 4}	{0.050616, -3.239475, 0.500000, 4}	{0.150003, -4.234336, 0.500000, 4}	{-0.093014, 4.881978, 0.500000, 4}	{-0.438228, 3.923349, 0.500000, 4}
{4.204338, -2.007947, 0.500000, 0}	{4.156860, -1.089344, 0.500000, 0}	{4.164477, -0.057598, 0.500000, 0}	{4.323510, 0.939482, 0.500000, 0}	{4.148852, 1.964377, 0.500000, 0}	{1.458026, -0.483519, 0.500000, 1}	{1.005248, -1.207038, 0.500000, 1}	{0.574095, -2.087519, 0.500000, 1}	{0.573433, -3.090807, 0.500000, 1}	{0.786065, -4.136577, 0.500000, 1}	{0.748350, 4.682560, 0.500000, 2}	{0.719210, -4.473605, 0.500000, 2}	{0.565541, -3.430499, 0.500000, 2}	{0.719075, -2.468194, 0.500000, 2}	{0.772108, -1.487346, 0.500000, 2}	{-4.853214, 1.822124, 0.500000, 3}	{4.167078, 1.879135, 0.500000, 3}	{3.149968, 2.037631, 0.500000, 3}	{2.334803, 2.454729, 0.500000, 3}	{1.264040, 2.465512, 0.500000, 3}	{-0.216371, -2.456181, 0.500000, 4}	{-0.174941, -3.325419, 0.500000, 4}	{-0.010426, -4.242289, 0.500000, 4}	{0.060358, 4.838287, 0.500000, 4}	{-0.103056, 3.889129, 0.500000, 4}
