{-1.933659, 0.170502, 0.149528, -0.077479, -1, -1, -1, -1}	{-2.864507, 0.472836, 0.094162, -0.071633, -1, -1, -1, -1}	{4.505205, 3.507887, 0.215417, -0.032929, -1, -1, -1, -1}	{3.993382, -1.511917, -0.178152, -0.031533, -1, -1, -1, -1}	{3.387841, -4.534067, -0.012979, -0.069758, -1, -1, -1, -1}
{-1.106782, 0.843809, 0.206705, -0.006407, -1, -1, -1, -1}	{-1.736738, 0.856088, -0.178604, -0.139449, -1, -1, -1, -1}	{4.546648, 4.153592, -0.105761, -0.083895, -1, -1, -1, -1}	{4.224864, -1.815299, -0.012660, 0.216381, -1, -1, -1, -1}	{3.650186, -4.362224, 0.069935, 0.139720, -1, -1, -1, -1}
{0.006271, 0.737907, -0.004446, -0.132100, -1, -1, -1, -1}	{-0.575900, 0.878473, -0.189563, 0.052751, -1, -1, -1, -1}	{-4.964452, 3.760080, -0.033459, 0.173576, -1, -1, -1, -1}	{4.094903, -1.265862, -0.020745, 0.143297, -1, -1, -1, -1}	{3.917591, -4.950046, -0.137846, 0.064149, -1, -1, -1, -1}
{-0.845091, 0.500075, -0.047074, -0.219377, -1, -1, -1, -1}	{-0.496096, 0.074808, -0.185293, 0.049715, -1, -1, -1, -1}	{4.918364, 3.518588, 0.042016, -0.137039, -1, -1, -1, -1}	{3.359759, -1.832176, 0.017993, 0.208738, -1, -1, -1, -1}	{4.589573, 4.232471, -0.026637, -0.150234, -1, -1, -1, -1}
{-0.185467, 1.050086, -0.125654, -0.047667, -1, -1, -1, -1}	{-0.316717, 0.276781, 0.126340, 0.041719, -1, -1, -1, -1}	{4.627346, 3.363442, 0.164085, 0.166782, -1, -1, -1, -1}	{3.235413, -2.071635, -0.166789, 0.007203, -1, -1, -1, -1}	{3.794277, 4.181694, 0.170405, -0.090647, -1, -1, -1, -1}
{-1.409587, 0.776504, -0.082860, -0.163478, -1, -1, -1, -1}	{-0.025034, 0.367443, 0.046207, -0.073294, -1, -1, -1, -1}	{4.682511, 3.376192, 0.140665, 0.060663, -1, -1, -1, -1}	{2.099515, -2.915190, 0.173540, 0.220621, -1, -1, -1, -1}	{3.827093, 4.067719, -0.143013, 0.094761, -1, -1, -1, -1}
{-1.581225, 0.689750, 0.072725, 0.151874, -1, -1, -1, -1}	{-0.906803, 0.809412, 0.163688, -0.150656, -1, -1, -1, -1}	{4.869392, 3.528119, -0.171547, -0.116266, -1, -1, -1, -1}	{3.195841, -3.238497, 0.010813, -0.242732, -1, -1, -1, -1}	{4.047104, 3.950672, -0.137978, -0.188609, -1, -1, -1, -1}
{-1.076211, 0.489181, 0.141423, 0.011393, -1, -1, -1, -1}	{-0.046828, 0.741895, -0.235730, 0.182362, -1, -1, -1, -1}	{-4.825496, 3.584147, 0.095315, 0.145570, -1, -1, -1, -1}	{2.424834, -4.131804, 0.073069, -0.133247, -1, -1, -1, -1}	{3.337890, 3.886945, -0.039609, -0.131863, -1, -1, -1, -1}
{-1.416867, 0.100456, -0.118708, 0.087680, -1, -1, -1, -1}	{0.826204, 1.185570, -0.120863, 0.269062, -1, -1, -1, -1}	{-4.792069, 3.092995, 0.190718, -0.099428, -1, -1, -1, -1}	{1.413002, -3.659811, 0.118441, 0.075818, -1, -1, -1, -1}	{2.648999, 4.108394, 0.039311, -0.071551, -1, -1, -1, -1}
{-1.628870, 0.225572, -0.146055, 0.069637, -1, -1, -1, -1}	{0.550160, 1.570980, 0.021516, -0.149616, -1, -1, -1, -1}	{4.709020, 3.145962, -0.245387, -0.039958, -1, -1, -1, -1}	{1.797591, -3.671620, 0.102078, 0.216491, -1, -1, -1, -1}	{2.682677, 3.962092, 0.262277, 0.036005, -1, -1, -1, -1}
{-1.196267, 0.141145, 0.063064, -0.228092, -1, -1, -1, -1}	{0.039421, 1.441759, -0.085842, 0.120274, -1, -1, -1, -1}	{-4.389647, 3.816733, -0.093051, 0.120350, -1, -1, -1, -1}	{1.863784, -3.551546, -0.208005, 0.174421, -1, -1, -1, -1}	{2.292802, 3.761863, -0.131408, -0.067139, -1, -1, -1, -1}
{-0.361806, -0.755443, -0.194227, 0.111064, -1, -1, -1, -1}	{0.072935, 1.090962, 0.067042, 0.220469, -1, -1, -1, -1}	{-4.433567, 3.530828, -0.134861, 0.043783, -1, -1, -1, -1}	{1.775852, -4.009000, -0.006979, -0.171871, -1, -1, -1, -1}	{1.776576, 3.886108, -0.187911, -0.069059, -1, -1, -1, -1}
{-0.634102, -1.961169, -0.096870, -0.196287, -1, -1, -1, -1}	{-0.620850, 1.597676, -0.082889, -0.037449, -1, -1, -1, -1}	{-3.965587, 3.648199, 0.119573, 0.283714, -1, -1, -1, -1}	{1.878412, -3.853002, -0.151725, 0.012566, -1, -1, -1, -1}	{2.345019, 2.806592, -0.107932, 0.195323, -1, -1, -1, -1}
{0.043305, -3.724868, -0.090551, -0.072535, -1, -1, -1, -1}	{-1.510367, 2.165931, -0.123416, -0.189296, -1, -1, -1, -1}	{-4.339124, 4.160140, 0.171374, 0.105117, -1, -1, -1, -1}	{1.332474, -4.191523, 0.038210, 0.221946, -1, -1, -1, -1}	{2.029001, 3.189486, 0.111367, -0.106902, -1, -1, -1, -1}
{1.354375, -4.460747, 0.002319, -0.138541, -1, -1, -1, -1}	{-2.055584, 3.184454, -0.067375, -0.212599, -1, -1, -1, -1}	{-3.545002, 4.913566, -0.093180, 0.083433, -1, -1, -1, -1}	{1.574059, -4.272268, -0.145281, 0.045123, -1, -1, -1, -1}	{1.594974, 3.584259, 0.119815, 0.110631, -1, -1, -1, -1}
