Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.07     0.00    40418     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<int*>(std::move_iterator<int*>)
  0.00      0.07     0.00    40418     0.00     0.00  int* std::__miter_base<int*>(int*)
  0.00      0.07     0.00    39938     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  0.00      0.07     0.00    39864     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  0.00      0.07     0.00    39864     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator*() const
  0.00      0.07     0.00    38380     0.00     0.26  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > __gnu_cxx::__to_xstring<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, char>(int (*)(char*, unsigned long, char const*, __va_list_tag*), unsigned long, char const*, ...)
  0.00      0.07     0.00    38380     0.00     0.26  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*)
  0.00      0.07     0.00    38380     0.00     0.26  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char*>(char*, char*, std::forward_iterator_tag)
  0.00      0.07     0.00    38380     0.00     0.26  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char*>(char*, char*, std::__false_type)
  0.00      0.07     0.00    38380     0.00     0.26  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string<char*, void>(char*, char*, std::allocator<char> const&)
  0.00      0.07     0.00    37920     0.00     0.00  std::_Hashtable<std::array<int, 4ul>, std::array<int, 4ul>, std::allocator<std::array<int, 4ul> >, std::__detail::_Identity, std::equal_to<std::array<int, 4ul> >, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_bucket_index(std::array<int, 4ul> const&, unsigned long) const
  0.00      0.07     0.00    37920     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 4ul>, std::array<int, 4ul>, std::__detail::_Identity, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index(std::array<int, 4ul> const&, unsigned long, unsigned long) const
  0.00      0.07     0.00    37415     0.00     0.00  unsigned long boost::hash_value<int, 4ul>(std::array<int, 4ul> const&)
  0.00      0.07     0.00    37415     0.00     0.00  boost::hash<std::array<int, 4ul> >::operator()(std::array<int, 4ul> const&) const
  0.00      0.07     0.00    37415     0.00     0.00  std::_Hashtable<std::array<int, 4ul>, std::array<int, 4ul>, std::allocator<std::array<int, 4ul> >, std::__detail::_Identity, std::equal_to<std::array<int, 4ul> >, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_find_node(unsigned long, std::array<int, 4ul> const&, unsigned long) const
  0.00      0.07     0.00    37415     0.00     0.00  std::_Hashtable<std::array<int, 4ul>, std::array<int, 4ul>, std::allocator<std::array<int, 4ul> >, std::__detail::_Identity, std::equal_to<std::array<int, 4ul> >, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_find_before_node(unsigned long, std::array<int, 4ul> const&, unsigned long) const
  0.00      0.07     0.00    37415     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 4ul>, std::array<int, 4ul>, std::__detail::_Identity, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_hash_code(std::array<int, 4ul> const&) const
  0.00      0.07     0.00    37415     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 4ul>, std::array<int, 4ul>, std::__detail::_Identity, boost::hash<std::array<int, 4ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h1() const
  0.00      0.07     0.00    37415     0.00     0.00  std::__detail::_Hashtable_ebo_helper<1, boost::hash<std::array<int, 4ul> >, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<1, boost::hash<std::array<int, 4ul> >, true> const&)
