Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.07     0.00    17873     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.07     0.00    17744     0.00     0.00  std::array<int, 2ul>::end() const
  0.00      0.07     0.00    17247     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  0.00      0.07     0.00    17247     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int const&>(int const&)
  0.00      0.07     0.00    16798     0.00     0.00  int const* std::__niter_base<int const*>(int const*)
  0.00      0.07     0.00    16640     0.00     0.00  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::min()
  0.00      0.07     0.00    16640     0.00     0.00  std::log(long double)
  0.00      0.07     0.00    16362     0.00     0.00  Link::get_angle()
  0.00      0.07     0.00    16182     0.00     0.00  actin::get_ycm()
  0.00      0.07     0.00    15568     0.00     0.00  std::vector<int, std::allocator<int> >::end()
  0.00      0.07     0.00    15568     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  0.00      0.07     0.00    15150     0.00     0.00  std::remove_reference<std::allocator<std::array<int, 2ul> >&>::type&& std::move<std::allocator<std::array<int, 2ul> >&>(std::allocator<std::array<int, 2ul> >&)
  0.00      0.07     0.00    15150     0.00     0.00  std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > >&& std::forward<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > > >(std::remove_reference<std::vector<std::array<int, 2ul>, std::allocator<std::array<int, 2ul> > > >::type&)
  0.00      0.07     0.00    14701     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 2ul>, std::array<int, 2ul>, std::__detail::_Identity, boost::hash<std::array<int, 2ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_h2() const
  0.00      0.07     0.00    14701     0.00     0.00  std::__detail::_Mod_range_hashing::operator()(unsigned long, unsigned long) const
  0.00      0.07     0.00    14701     0.00     0.00  std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true>::_S_cget(std::__detail::_Hashtable_ebo_helper<2, std::__detail::_Mod_range_hashing, true> const&)
  0.00      0.07     0.00    14241     0.00     0.00  actin::update_force(double, double)
  0.00      0.07     0.00    14212     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::array<int, 2ul>*>(std::array<int, 2ul>*, std::array<int, 2ul>*)
  0.00      0.07     0.00    14212     0.00     0.00  void std::_Destroy<std::array<int, 2ul>*>(std::array<int, 2ul>*, std::array<int, 2ul>*)
  0.00      0.07     0.00    14212     0.00     0.00  void std::_Destroy<std::array<int, 2ul>*, std::array<int, 2ul> >(std::array<int, 2ul>*, std::array<int, 2ul>*, std::allocator<std::array<int, 2ul> >&)
  0.00      0.07     0.00    14203     0.00     0.00  rij_periodic(double, double, double, double)
  0.00      0.07     0.00    14203     0.00     0.00  rij_bc(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, double, double, double, double, double)
  0.00      0.07     0.00    14035     0.00     0.00  __gnu_cxx::new_allocator<std::array<int, 2ul> >::new_allocator(__gnu_cxx::new_allocator<std::array<int, 2ul> > const&)
  0.00      0.07     0.00    14035     0.00     0.00  std::allocator<std::array<int, 2ul> >::allocator(std::allocator<std::array<int, 2ul> > const&)
  0.00      0.07     0.00    13134     0.00     0.00  std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::array<int, 2ul>, true> > >::_M_node_allocator()
  0.00      0.07     0.00    13134     0.00     0.00  std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::array<int, 2ul>, true> >, true>::_S_get(std::__detail::_Hashtable_ebo_helper<0, std::allocator<std::__detail::_Hash_node<std::array<int, 2ul>, true> >, true>&)
  0.00      0.07     0.00    13128     0.00     0.00  std::_Rb_tree<std::pair<double, std::array<int, 2ul> >, std::pair<double, std::array<int, 2ul> >, std::_Identity<std::pair<double, std::array<int, 2ul> > >, std::less<std::pair<double, std::array<int, 2ul> > >, std::allocator<std::pair<double, std::array<int, 2ul> > > >::_M_get_Node_allocator()
  0.00      0.07     0.00    12849     0.00     0.00  actin::get_xcm()
  0.00      0.07     0.00    12748     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator()
  0.00      0.07     0.00    12748     0.00     0.00  std::allocator<int>::allocator()
  0.00      0.07     0.00    12728     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::_Vector_impl()
  0.00      0.07     0.00    12728     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_base()
  0.00      0.07     0.00    12728     0.00     0.00  std::vector<int, std::allocator<int> >::vector()
  0.00      0.07     0.00    12240     0.00     0.00  filament::get_actin(int)
  0.00      0.07     0.00    12129     0.00     0.00  __gnu_cxx::__aligned_buffer<std::array<int, 2ul> >::_M_ptr()
  0.00      0.07     0.00    12129     0.00     0.00  __gnu_cxx::__aligned_buffer<std::array<int, 2ul> >::_M_addr()
  0.00      0.07     0.00    12129     0.00     0.00  std::_Hashtable<std::array<int, 2ul>, std::array<int, 2ul>, std::allocator<std::array<int, 2ul> >, std::__detail::_Identity, std::equal_to<std::array<int, 2ul> >, boost::hash<std::array<int, 2ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_bucket_index(std::array<int, 2ul> const&, unsigned long) const
  0.00      0.07     0.00    12129     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 2ul>, std::array<int, 2ul>, std::__detail::_Identity, boost::hash<std::array<int, 2ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_bucket_index(std::array<int, 2ul> const&, unsigned long, unsigned long) const
  0.00      0.07     0.00    12129     0.00     0.00  std::__detail::_Hash_node_value_base<std::array<int, 2ul> >::_M_valptr()
  0.00      0.07     0.00    12126     0.00     0.00  unsigned long boost::hash_range<int const*>(int const*, int const*)
  0.00      0.07     0.00    12126     0.00     0.00  unsigned long boost::hash_value<int, 2ul>(std::array<int, 2ul> const&)
  0.00      0.07     0.00    12126     0.00     0.00  boost::hash<std::array<int, 2ul> >::operator()(std::array<int, 2ul> const&) const
  0.00      0.07     0.00    12126     0.00     0.00  std::_Hashtable<std::array<int, 2ul>, std::array<int, 2ul>, std::allocator<std::array<int, 2ul> >, std::__detail::_Identity, std::equal_to<std::array<int, 2ul> >, boost::hash<std::array<int, 2ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_find_node(unsigned long, std::array<int, 2ul> const&, unsigned long) const
  0.00      0.07     0.00    12126     0.00     0.00  std::_Hashtable<std::array<int, 2ul>, std::array<int, 2ul>, std::allocator<std::array<int, 2ul> >, std::__detail::_Identity, std::equal_to<std::array<int, 2ul> >, boost::hash<std::array<int, 2ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, true, true> >::_M_find_before_node(unsigned long, std::array<int, 2ul> const&, unsigned long) const
  0.00      0.07     0.00    12126     0.00     0.00  std::__detail::_Hash_code_base<std::array<int, 2ul>, std::array<int, 2ul>, std::__detail::_Identity, boost::hash<std::array<int, 2ul> >, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, true>::_M_hash_code(std::array<int, 2ul> const&) const
