{2.771645, 0.629018, 0.970246, -0.389484, 0}	{-2.258109, 0.239534, 0.817245, -0.438077, 0}	{-1.440864, -0.198543, 0.977951, -0.385859, 0}	{-0.462912, -0.584402, 0.760866, -0.564038, 0}	{-0.361860, 1.706911, 0.296960, -0.912888, 1}	{-0.064900, 0.794023, 0.574072, -0.874087, 1}	{0.509171, -0.080064, 0.479087, -0.725761, 1}	{0.988259, -0.805825, 0.570638, -0.827862, 1}	{-2.846511, 0.157079, 1.059116, -0.045691, 2}	{-1.787395, 0.111388, 0.831436, -0.595485, 2}	{-0.955959, -0.484098, 0.839289, -0.550231, 2}	{-0.116670, -1.034329, 0.831272, -0.625816, 2}
{2.282000, 0.411256, 0.883799, -0.601897, 0}	{-2.834202, -0.190641, 0.997915, -0.395941, 0}	{-1.836286, -0.586582, 1.050102, -0.379857, 0}	{-0.786184, -0.966439, 1.168763, -0.171095, 0}	{0.770231, 2.754316, -0.208978, -0.911512, 1}	{0.561252, 1.842804, 0.104789, -1.043885, 1}	{0.666042, 0.798919, -0.111067, -1.060315, 1}	{0.554974, -0.261396, 0.167581, -0.945271, 1}	{-2.967023, -0.149149, 1.045890, -0.216191, 2}	{-1.921134, -0.365339, 0.870274, -0.345290, 2}	{-1.050859, -0.710629, 0.902172, -0.467963, 2}	{-0.148687, -1.178592, 1.156448, -0.230066, 2}
{2.111735, -0.164729, 0.937936, -0.372932, 0}	{-2.950329, -0.537661, 0.904168, -0.378260, 0}	{-2.046161, -0.915921, 1.057275, -0.007368, 0}	{-0.988886, -0.923289, 0.972938, -0.505142, 0}	{0.168282, -2.767389, -0.059695, -1.120140, 1}	{0.108587, 2.112471, 0.283442, -0.992806, 1}	{0.392029, 1.119665, 0.191474, -0.925483, 1}	{0.583502, 0.194182, 0.606973, -0.773092, 1}	{-2.850958, 0.023143, 0.841056, -0.554928, 2}	{-2.009902, -0.531785, 0.821768, -0.383920, 2}	{-1.188135, -0.915705, 0.700182, -0.576417, 2}	{-0.487953, -1.492121, 0.979022, -0.416820, 2}
{2.104953, 0.401610, 0.800083, -0.531483, 0}	{2.905036, -0.129872, 0.864535, -0.456719, 0}	{-2.230430, -0.586591, 0.912833, -0.486241, 0}	{-1.317596, -1.072832, 0.693808, -0.657771, 0}	{-0.014315, -2.876244, 0.503745, -0.954111, 1}	{0.489431, 2.169646, 0.166679, -1.012956, 1}	{0.656109, 1.156689, -0.355574, -0.789501, 1}	{0.300536, 0.367188, -0.585154, -0.794392, 1}	{-2.711333, 0.627228, 0.468938, -0.843831, 2}	{-2.242396, -0.216603, 0.515489, -0.740092, 2}	{-1.726907, -0.956695, 0.728430, -0.581012, 2}	{-0.998477, -1.537706, 0.715331, -0.792376, 2}
{2.700622, 0.388010, 0.698755, -0.539854, 0}	{-2.600623, -0.151844, 0.838040, -0.633344, 0}	{-1.762583, -0.785187, 0.895537, -0.327479, 0}	{-0.867046, -1.112666, 0.934452, -0.327438, 0}	{0.761229, -2.851937, -0.262921, -1.095654, 1}	{0.498308, 2.052409, -0.330014, -0.959994, 1}	{0.168294, 1.092415, -0.538472, -0.835635, 1}	{-0.370177, 0.256780, -0.510386, -0.875795, 1}	{2.898944, -1.023468, 0.862958, 0.033280, 2}	{-2.238097, -0.990187, 0.919981, -0.163427, 2}	{-1.318116, -1.153614, 0.976858, -0.322361, 2}	{-0.341258, -1.475975, 0.866454, -0.539608, 2}
{2.018523, 0.161064, 0.984083, -0.107023, 0}	{-2.997393, 0.054041, 0.867738, -0.167308, 0}	{-2.129656, -0.113267, 1.046472, -0.215156, 0}	{-1.083184, -0.328423, 0.895434, -0.468006, 0}	{-0.262644, -2.681603, -0.308613, -1.086544, 1}	{-0.571257, 2.231853, 0.126390, -1.050037, 1}	{-0.444867, 1.181816, 0.214226, -1.092919, 1}	{-0.230641, 0.088897, 0.701111, -0.750011, 1}	{2.716668, -0.777632, 0.848834, 0.588531, 2}	{-2.434498, -0.189101, 1.077740, -0.026627, 2}	{-1.356758, -0.215728, 0.806650, -0.578970, 2}	{-0.550108, -0.794698, 0.904920, -0.423781, 2}
{2.399533, 0.759884, 0.735795, -0.722082, 0}	{-2.864672, 0.037801, 0.925261, -0.552594, 0}	{-1.939411, -0.514792, 0.982978, -0.427879, 0}	{-0.956433, -0.942672, 0.957742, -0.090051, 0}	{-0.553591, 2.841224, 0.351912, -1.050102, 1}	{-0.201679, 1.791121, 0.285406, -0.865121, 1}	{0.083727, 0.926001, 0.418120, -0.846017, 1}	{0.501847, 0.079984, 0.635054, -0.841721, 1}	{-2.950050, -0.809786, 0.801371, -0.597063, 2}	{-2.148679, -1.406849, 1.027388, -0.259963, 2}	{-1.121291, -1.666812, 0.887786, 0.326973, 2}	{-0.233505, -1.339839, 0.905225, 0.363783, 2}
{2.369083, 0.294091, 0.716338, -0.419236, 0}	{-2.914579, -0.125146, 0.845123, -0.577370, 0}	{-2.069456, -0.702516, 0.981622, -0.565180, 0}	{-1.087834, -1.267696, 0.813425, 0.135592, 0}	{0.309494, -2.853978, 0.261428, -1.000893, 1}	{0.570922, 2.145128, 0.087136, -0.887723, 1}	{0.658058, 1.257405, 0.073425, -0.962586, 1}	{0.731483, 0.294819, -0.048784, -0.969508, 1}	{2.696775, -1.939531, 0.793541, 0.440514, 2}	{-2.509684, -1.499016, 0.936087, 0.004110, 2}	{-1.573598, -1.494906, 1.029678, 0.092562, 2}	{-0.543920, -1.402344, 0.945840, 0.226141, 2}
{2.146020, -0.580130, 0.926124, -0.088447, 0}	{-2.927855, -0.668577, 0.906675, -0.160688, 0}	{-2.021181, -0.829265, 0.914905, -0.321713, 0}	{-1.106275, -1.150978, 1.023202, -0.241878, 0}	{0.192800, -2.491492, 0.294316, -0.898996, 1}	{0.487117, 2.609512, 0.220959, -1.103470, 1}	{0.708076, 1.506042, -0.242749, -0.912613, 1}	{0.465327, 0.593429, -0.359059, -0.900291, 1}	{2.697609, -1.274064, 0.942684, 0.143241, 2}	{-2.359707, -1.130823, 0.945740, -0.035620, 2}	{-1.413968, -1.166442, 1.031364, -0.271409, 2}	{-0.382604, -1.437851, 0.903756, -0.291940, 2}
{2.179898, -1.360226, 0.933912, -0.037069, 0}	{-2.886191, -1.397295, 0.951448, 0.009857, 0}	{-1.934743, -1.387438, 0.919402, 0.084702, 0}	{-1.015341, -1.302735, 1.016984, 0.209005, 0}	{-0.204308, -2.322146, 0.218436, -0.910564, 1}	{0.014127, 2.767290, 0.092240, -0.931751, 1}	{0.106367, 1.835538, 0.007937, -1.033062, 1}	{0.114304, 0.802476, 0.020796, -0.939825, 1}	{2.945489, -0.496727, 0.904120, -0.467418, 2}	{-2.150391, -0.964145, 0.832815, -0.207765, 2}	{-1.317576, -1.171911, 0.964448, -0.257960, 2}	{-0.353128, -1.429870, 1.009136, -0.105857, 2}
{2.059869, -0.963924, 1.089158, -0.280796, 0}	{-2.850973, -1.244721, 0.952893, -0.147796, 0}	{-1.898080, -1.392517, 0.950923, -0.401841, 0}	{-0.947157, -1.794358, 1.079815, -0.125750, 0}	{0.343094, 2.781457, 0.226718, -0.902954, 1}	{0.569811, 1.878502, 0.064416, -0.954768, 1}	{0.634227, 0.923735, 0.153473, -0.974726, 1}	{0.787701, -0.050992, -0.136654, -0.876524, 1}	{2.906629, -0.652651, 1.004475, -0.309354, 2}	{-2.088896, -0.962006, 0.915161, -0.467189, 2}	{-1.173735, -1.429195, 0.863256, -0.482933, 2}	{-0.310479, -1.912128, 1.013716, -0.414769, 2}
{2.026276, -0.797635, 1.123782, -0.057738, 0}	{-2.849941, -0.855373, 0.975164, -0.187300, 0}	{-1.874777, -1.042673, 1.068791, -0.225007, 0}	{-0.805986, -1.267680, 0.983958, -0.426426, 0}	{-0.323056, 2.809983, 0.353947, -0.891469, 1}	{0.030891, 1.918514, 0.360984, -0.895831, 1}	{0.391875, 1.022683, 0.342347, -0.845311, 1}	{0.734223, 0.177371, 0.136751, -1.028255, 1}	{-2.864551, -0.385545, 0.634337, -0.788139, 2}	{-2.230214, -1.173684, 1.001506, -0.414870, 2}	{-1.228708, -1.588554, 1.048693, -0.155626, 2}	{-0.180015, -1.744181, 0.839675, -0.403639, 2}
{2.590944, -0.460783, 0.904912, -0.471376, 0}	{-2.504143, -0.932159, 0.938782, -0.465029, 0}	{-1.565361, -1.397187, 0.882051, -0.269677, 0}	{-0.683310, -1.666864, 0.916704, -0.149875, 0}	{-0.423071, -2.790362, 0.135923, -0.987766, 1}	{-0.287148, 2.221873, 0.252758, -0.944800, 1}	{-0.034389, 1.277073, 0.571981, -0.882126, 1}	{0.537592, 0.394947, 0.659318, -0.747468, 1}	{-2.900792, -0.234498, 0.908838, -0.703049, 2}	{-1.991954, -0.937548, 0.813682, -0.675168, 2}	{-1.178273, -1.612716, 1.061586, -0.207940, 2}	{-0.116687, -1.820656, 0.924975, -0.369997, 2}
{2.371653, -0.245523, 0.969679, -0.272047, 0}	{-2.658668, -0.517570, 0.928721, -0.372512, 0}	{-1.729946, -0.890082, 0.984123, -0.222537, 0}	{-0.745823, -1.112618, 0.972860, -0.278672, 0}	{-0.571551, -2.186552, 0.362368, -0.923802, 1}	{-0.209183, 2.889646, 0.340032, -0.898472, 1}	{0.130848, 1.991174, 0.647077, -0.865539, 1}	{0.777925, 1.125634, 0.688134, -0.864975, 1}	{-2.764086, -0.611873, 0.906503, -0.333431, 2}	{-1.857583, -0.945305, 0.889915, -0.297255, 2}	{-0.967667, -1.242559, 0.856061, -0.165184, 2}	{-0.111607, -1.407743, 0.887529, -0.366339, 2}
{2.342014, -1.391983, 0.933732, -0.059695, 0}	{-2.724254, -1.451679, 0.907346, 0.153387, 0}	{-1.816908, -1.298292, 1.092844, -0.056396, 0}	{-0.724064, -1.354688, 0.958109, -0.353782, 0}	{-1.152078, -2.896453, 0.794153, -0.600926, 1}	{-0.357926, 2.502621, 0.735026, -0.764354, 1}	{0.377101, 1.738266, 0.379598, -0.900741, 1}	{0.756698, 0.837525, 0.290410, -0.990011, 1}	{2.966279, -1.192029, 0.970078, -0.083046, 2}	{-2.063643, -1.275075, 0.920076, -0.234335, 2}	{-1.143568, -1.509410, 1.038023, -0.229484, 2}	{-0.105545, -1.738894, 0.896993, -0.347539, 2}
{2.160481, -2.101636, 0.950568, -0.048661, 0}	{-2.888951, -2.150297, 1.042799, 0.304299, 0}	{-1.846152, -1.845998, 1.024310, 0.118362, 0}	{-0.821842, -1.727636, 1.033391, 0.112863, 0}	{0.759552, -2.813367, -0.040752, -1.112649, 1}	{0.718800, 2.073984, 0.006967, -0.956280, 1}	{0.725768, 1.117704, 0.024954, -1.000455, 1}	{0.750721, 0.117249, -0.178522, -0.875793, 1}	{-2.945372, -1.152029, 0.896132, -0.391324, 2}	{-2.049240, -1.543354, 1.024557, -0.372454, 2}	{-1.024684, -1.915807, 0.999098, -0.004101, 2}	{-0.025586, -1.919908, 0.958668, 0.195412, 2}
