{2.111735, -0.164729, 0.250000, 0}	{-2.950329, -0.537661, 0.250000, 0}	{-2.046161, -0.915921, 0.250000, 0}	{-0.988886, -0.923289, 0.250000, 0}	{-0.015949, -1.428432, 0.250000, 0}	{0.168282, -2.767389, 0.250000, 1}	{0.108587, 2.112471, 0.250000, 1}	{0.392029, 1.119665, 0.250000, 1}	{0.583502, 0.194182, 0.250000, 1}	{1.190476, -0.578911, 0.250000, 1}	{-2.850958, 0.023143, 0.250000, 2}	{-2.009902, -0.531785, 0.250000, 2}	{-1.188135, -0.915705, 0.250000, 2}	{-0.487953, -1.492121, 0.250000, 2}	{0.491069, -1.908942, 0.250000, 2}
{2.104953, 0.401610, 0.250000, 0}	{2.905036, -0.129872, 0.250000, 0}	{-2.230430, -0.586591, 0.250000, 0}	{-1.317596, -1.072832, 0.250000, 0}	{-0.623789, -1.730603, 0.250000, 0}	{-0.014315, -2.876244, 0.250000, 1}	{0.489431, 2.169646, 0.250000, 1}	{0.656109, 1.156689, 0.250000, 1}	{0.300536, 0.367188, 0.250000, 1}	{-0.284618, -0.427204, 0.250000, 1}	{-2.711333, 0.627228, 0.250000, 2}	{-2.242396, -0.216603, 0.250000, 2}	{-1.726907, -0.956695, 0.250000, 2}	{-0.998477, -1.537706, 0.250000, 2}	{-0.283146, -2.330083, 0.250000, 2}
{2.700622, 0.388010, 0.250000, 0}	{-2.600623, -0.151844, 0.250000, 0}	{-1.762583, -0.785187, 0.250000, 0}	{-0.867046, -1.112666, 0.250000, 0}	{0.067406, -1.440104, 0.250000, 0}	{0.761229, -2.851937, 0.250000, 1}	{0.498308, 2.052409, 0.250000, 1}	{0.168294, 1.092415, 0.250000, 1}	{-0.370177, 0.256780, 0.250000, 1}	{-0.880563, -0.619015, 0.250000, 1}	{2.898944, -1.023468, 0.250000, 2}	{-2.238097, -0.990187, 0.250000, 2}	{-1.318116, -1.153614, 0.250000, 2}	{-0.341258, -1.475975, 0.250000, 2}	{0.525197, -2.015583, 0.250000, 2}
{2.018523, 0.161064, 0.250000, 0}	{-2.997393, 0.054041, 0.250000, 0}	{-2.129656, -0.113267, 0.250000, 0}	{-1.083184, -0.328423, 0.250000, 0}	{-0.187749, -0.796429, 0.250000, 0}	{-0.262644, -2.681603, 0.250000, 1}	{-0.571257, 2.231853, 0.250000, 1}	{-0.444867, 1.181816, 0.250000, 1}	{-0.230641, 0.088897, 0.250000, 1}	{0.470470, -0.661115, 0.250000, 1}	{2.716668, -0.777632, 0.250000, 2}	{-2.434498, -0.189101, 0.250000, 2}	{-1.356758, -0.215728, 0.250000, 2}	{-0.550108, -0.794698, 0.250000, 2}	{0.354812, -1.218480, 0.250000, 2}
{2.399533, 0.759884, 0.250000, 0}	{-2.864672, 0.037801, 0.250000, 0}	{-1.939411, -0.514792, 0.250000, 0}	{-0.956433, -0.942672, 0.250000, 0}	{0.001308, -1.032723, 0.250000, 0}	{-0.553591, 2.841224, 0.250000, 1}	{-0.201679, 1.791121, 0.250000, 1}	{0.083727, 0.926001, 0.250000, 1}	{0.501847, 0.079984, 0.250000, 1}	{1.136901, -0.761737, 0.250000, 1}	{-2.950050, -0.809786, 0.250000, 2}	{-2.148679, -1.406849, 0.250000, 2}	{-1.121291, -1.666812, 0.250000, 2}	{-0.233505, -1.339839, 0.250000, 2}	{0.671720, -0.976056, 0.250000, 2}
{2.369083, 0.294091, 0.250000, 0}	{-2.914579, -0.125146, 0.250000, 0}	{-2.069456, -0.702516, 0.250000, 0}	{-1.087834, -1.267696, 0.250000, 0}	{-0.274409, -1.132104, 0.250000, 0}	{0.309494, -2.853978, 0.250000, 1}	{0.570922, 2.145128, 0.250000, 1}	{0.658058, 1.257405, 0.250000, 1}	{0.731483, 0.294819, 0.250000, 1}	{0.682698, -0.674689, 0.250000, 1}	{2.696775, -1.939531, 0.250000, 2}	{-2.509684, -1.499016, 0.250000, 2}	{-1.573598, -1.494906, 0.250000, 2}	{-0.543920, -1.402344, 0.250000, 2}	{0.401921, -1.176203, 0.250000, 2}
{2.146020, -0.580130, 0.250000, 0}	{-2.927855, -0.668577, 0.250000, 0}	{-2.021181, -0.829265, 0.250000, 0}	{-1.106275, -1.150978, 0.250000, 0}	{-0.083073, -1.392856, 0.250000, 0}	{0.192800, -2.491492, 0.250000, 1}	{0.487117, 2.609512, 0.250000, 1}	{0.708076, 1.506042, 0.250000, 1}	{0.465327, 0.593429, 0.250000, 1}	{0.106268, -0.306862, 0.250000, 1}	{2.697609, -1.274064, 0.250000, 2}	{-2.359707, -1.130823, 0.250000, 2}	{-1.413968, -1.166442, 0.250000, 2}	{-0.382604, -1.437851, 0.250000, 2}	{0.521153, -1.729792, 0.250000, 2}
{2.179898, -1.360226, 0.250000, 0}	{-2.886191, -1.397295, 0.250000, 0}	{-1.934743, -1.387438, 0.250000, 0}	{-1.015341, -1.302735, 0.250000, 0}	{0.001643, -1.093730, 0.250000, 0}	{-0.204308, -2.322146, 0.250000, 1}	{0.014127, 2.767290, 0.250000, 1}	{0.106367, 1.835538, 0.250000, 1}	{0.114304, 0.802476, 0.250000, 1}	{0.135101, -0.137348, 0.250000, 1}	{2.945489, -0.496727, 0.250000, 2}	{-2.150391, -0.964145, 0.250000, 2}	{-1.317576, -1.171911, 0.250000, 2}	{-0.353128, -1.429870, 0.250000, 2}	{0.656008, -1.535728, 0.250000, 2}
{2.059869, -0.963924, 0.250000, 0}	{-2.850973, -1.244721, 0.250000, 0}	{-1.898080, -1.392517, 0.250000, 0}	{-0.947157, -1.794358, 0.250000, 0}	{0.132658, -1.920108, 0.250000, 0}	{0.343094, 2.781457, 0.250000, 1}	{0.569811, 1.878502, 0.250000, 1}	{0.634227, 0.923735, 0.250000, 1}	{0.787701, -0.050992, 0.250000, 1}	{0.651047, -0.927516, 0.250000, 1}	{2.906629, -0.652651, 0.250000, 2}	{-2.088896, -0.962006, 0.250000, 2}	{-1.173735, -1.429195, 0.250000, 2}	{-0.310479, -1.912128, 0.250000, 2}	{0.703238, -2.326897, 0.250000, 2}
{2.026276, -0.797635, 0.250000, 0}	{-2.849941, -0.855373, 0.250000, 0}	{-1.874777, -1.042673, 0.250000, 0}	{-0.805986, -1.267680, 0.250000, 0}	{0.177971, -1.694106, 0.250000, 0}	{-0.323056, 2.809983, 0.250000, 1}	{0.030891, 1.918514, 0.250000, 1}	{0.391875, 1.022683, 0.250000, 1}	{0.734223, 0.177371, 0.250000, 1}	{0.870974, -0.850884, 0.250000, 1}	{-2.864551, -0.385545, 0.250000, 2}	{-2.230214, -1.173684, 0.250000, 2}	{-1.228708, -1.588554, 0.250000, 2}	{-0.180015, -1.744181, 0.250000, 2}	{0.659660, -2.147820, 0.250000, 2}
