{-2.172746, -0.680116, 0.928404, 0.408403, 0}	{-1.244342, -0.271713, 0.925962, 0.425322, 0}	{-0.318380, 0.153609, 0.815486, 0.515790, 0}	{0.497106, 0.669399, 0.558633, 0.889375, 0}	{-0.568437, -0.520080, 0.805041, 0.658554, 1}	{0.236604, 0.138475, 0.875165, 0.131931, 1}	{1.111770, 0.270406, 0.906457, 0.113549, 1}	{2.018226, 0.383955, 0.896678, 0.074631, 1}	{-2.310714, -2.575869, 1.019732, 0.371563, 2}	{-1.290981, -2.204306, 0.925149, 0.548839, 2}	{-0.365832, -1.655468, 0.969464, 0.223722, 2}	{0.603631, -1.431746, 0.811458, 0.771029, 2}	{-2.021739, 1.066568, 0.998981, -0.095098, 3}	{-1.022759, 0.971470, 0.914641, -0.082752, 3}	{-0.108118, 0.888718, 0.974424, 0.049050, 3}	{0.866306, 0.937768, 0.894207, 0.406005, 3}
{-2.545258, -0.582733, 0.832157, 0.385010, 0}	{-1.713101, -0.197724, 0.987910, 0.142359, 0}	{-0.725191, -0.055365, 1.017757, 0.476512, 0}	{0.292566, 0.421147, 0.686104, 0.733182, 0}	{-0.767110, -0.709619, 1.058132, 0.189823, 1}	{0.291023, -0.519796, 0.889572, 0.408567, 1}	{1.180595, -0.111229, 0.886200, 0.382043, 1}	{2.066795, 0.270814, 1.012589, 0.218909, 1}	{-1.818724, -2.698205, 0.864947, 0.316737, 2}	{-0.953777, -2.381468, 0.810975, 0.469384, 2}	{-0.142802, -1.912084, 0.563084, 0.687165, 2}	{0.420281, -1.224919, 0.742534, 0.611506, 2}	{-2.250439, 0.615513, 0.985640, 0.084465, 3}	{-1.264799, 0.699978, 0.932347, 0.252122, 3}	{-0.332452, 0.952099, 0.924344, -0.004051, 3}	{0.591892, 0.948048, 1.044889, -0.088300, 3}
{-2.289829, -1.222567, 0.616050, 0.601757, 0}	{-1.673779, -0.620810, 0.793447, 0.651610, 0}	{-0.880332, 0.030799, 0.899175, 0.449552, 0}	{0.018843, 0.480352, 0.953142, 0.346361, 0}	{-0.494870, -0.672838, 0.931212, 0.417348, 1}	{0.436342, -0.255490, 0.751063, 0.298699, 1}	{1.187405, 0.043209, 0.953923, 0.321839, 1}	{2.141329, 0.365048, 0.999842, 0.246012, 1}	{-1.174346, 2.635004, 0.477555, 0.884680, 2}	{-0.696790, -2.480317, 0.707520, 0.678447, 2}	{0.010730, -1.801870, 0.537968, 0.822895, 2}	{0.548698, -0.978975, 0.820395, 0.507909, 2}	{-2.125178, 0.697071, 0.989125, 0.118003, 3}	{-1.136053, 0.815074, 0.972867, 0.214871, 3}	{-0.163186, 1.029944, 0.892734, 0.342738, 3}	{0.729548, 1.372682, 0.937934, 0.146553, 3}
{-2.188832, -1.756691, 0.848097, 0.592047, 0}	{-1.340735, -1.164644, 0.867268, 0.584081, 0}	{-0.473467, -0.580563, 0.693093, 0.742357, 0}	{0.219626, 0.161794, 0.793287, 0.689271, 0}	{-0.755339, -0.276749, 1.009283, -0.025478, 1}	{0.253943, -0.302226, 0.971797, 0.195136, 1}	{1.225740, -0.107090, 0.997628, 0.407249, 1}	{2.223368, 0.300159, 1.006334, 0.080284, 1}	{-1.315286, 2.687784, 0.905605, 0.413659, 2}	{-0.409681, -2.898557, 0.523361, 0.945683, 2}	{0.113680, -1.952874, 0.444397, 1.031704, 2}	{0.558078, -0.921170, 0.903146, 0.658101, 2}	{-1.775538, -0.084687, 0.711052, 0.716962, 3}	{-1.064486, 0.632275, 0.844760, 0.428303, 3}	{-0.219725, 1.060578, 0.909693, 0.247678, 3}	{0.689968, 1.308257, 0.975413, -0.110448, 3}
{-1.574197, -1.780858, 0.478752, 0.806204, 0}	{-1.095445, -0.974654, 0.779813, 0.643350, 0}	{-0.315632, -0.331304, 0.972177, 0.467825, 0}	{0.656545, 0.136521, 0.799399, 0.759095, 0}	{-0.592167, -0.566340, 0.990102, -0.041454, 1}	{0.397935, -0.607793, 0.901478, 0.449296, 1}	{1.299413, -0.158497, 0.893084, 0.520469, 1}	{2.192497, 0.361971, 0.838513, 0.463899, 1}	{-0.674560, 2.356527, 0.147896, 0.998702, 2}	{-0.526664, -2.644771, 0.489737, 1.012167, 2}	{-0.036927, -1.632604, 0.737600, 0.723519, 2}	{0.700674, -0.909085, 0.810863, 0.750167, 2}	{-2.042931, -0.266704, 0.823902, 0.570648, 3}	{-1.219029, 0.303944, 0.827551, 0.467785, 3}	{-0.391478, 0.771728, 0.905141, 0.083540, 3}	{0.513663, 0.855268, 1.016238, -0.061004, 3}
{-1.343716, -2.080192, 0.605796, 0.833709, 0}	{-0.737920, -1.246483, 0.641821, 0.652241, 0}	{-0.096099, -0.594242, 0.694512, 0.695270, 0}	{0.598413, 0.101028, 0.831785, 0.498820, 0}	{-0.707978, -0.766139, 1.071897, 0.147147, 1}	{0.363919, -0.618992, 0.846925, 0.445449, 1}	{1.210843, -0.173543, 0.764690, 0.664264, 1}	{1.975534, 0.490721, 0.701945, 0.594221, 1}	{-0.729178, 2.681337, 0.094491, 0.921673, 2}	{-0.634687, -2.396990, 0.532741, 0.846840, 2}	{-0.101947, -1.550150, 0.628619, 0.815316, 2}	{0.526672, -0.734834, 0.742196, 0.618785, 2}	{-2.391456, -0.314657, 1.013008, 0.362335, 3}	{-1.378448, 0.047678, 1.120767, 0.422570, 3}	{-0.257681, 0.470248, 0.974978, 0.407609, 3}	{0.717296, 0.877857, 0.912469, 0.257018, 3}
{-1.343054, -2.096168, 0.525305, 0.815824, 0}	{-0.817749, -1.280344, 0.496401, 0.840838, 0}	{-0.321348, -0.439506, 0.849836, 0.676866, 0}	{0.528488, 0.237360, 0.892764, 0.619457, 0}	{-0.559583, -1.201314, 0.891981, 0.474945, 1}	{0.332398, -0.726369, 0.842594, 0.468682, 1}	{1.174992, -0.257687, 0.837905, 0.649874, 1}	{2.012897, 0.392187, 0.677267, 0.838174, 1}	{-1.056325, 2.563237, 0.588241, 0.859173, 2}	{-0.468084, -2.577590, 0.513971, 0.889415, 2}	{0.045887, -1.688174, 0.851250, 0.594669, 2}	{0.897137, -1.093505, 0.370970, 0.851413, 2}	{-2.242132, -0.061030, 0.844092, 0.298482, 3}	{-1.398040, 0.237453, 1.113067, 0.213348, 3}	{-0.284974, 0.450801, 0.943890, 0.205039, 3}	{0.658916, 0.655840, 1.003767, 0.368930, 3}
{-1.919524, -2.144887, 0.759255, 0.872299, 0}	{-1.160268, -1.272589, 0.731606, 0.722009, 0}	{-0.428662, -0.550579, 0.760385, 0.586645, 0}	{0.331723, 0.036065, 0.994260, 0.213420, 0}	{-0.990418, -0.923474, 0.933544, 0.516175, 1}	{-0.056873, -0.407299, 0.682778, 0.512784, 1}	{0.625904, 0.105485, 0.936369, 0.470560, 1}	{1.562274, 0.576045, 0.994288, 0.393531, 1}	{-1.326627, 2.734172, 0.763819, 0.729468, 2}	{-0.562808, -2.536360, 0.779463, 0.694302, 2}	{0.216655, -1.842058, 0.729163, 0.698037, 2}	{0.945818, -1.144022, 0.572927, 1.017721, 2}	{-2.205994, -0.421785, 0.922557, 0.420345, 3}	{-1.283437, -0.001439, 0.829154, 0.475754, 3}	{-0.454283, 0.474315, 1.028244, 0.394257, 3}	{0.573961, 0.868572, 0.863037, 0.479730, 3}
{-1.753566, -2.552784, 0.542593, 0.936699, 0}	{-1.210973, -1.616084, 0.684948, 0.689000, 0}	{-0.526025, -0.927084, 0.733217, 0.493355, 0}	{0.207193, -0.433729, 0.901175, 0.445092, 0}	{-0.628120, -1.072793, 0.861083, 0.497291, 1}	{0.232963, -0.575502, 0.680948, 0.698794, 1}	{0.913911, 0.123291, 0.862901, 0.567779, 1}	{1.776812, 0.691070, 0.989347, 0.302285, 1}	{-1.161202, 2.368107, 0.701117, 0.708442, 2}	{-0.460086, -2.923451, 0.744108, 0.756139, 2}	{0.284023, -2.167312, 0.653126, 0.740101, 2}	{0.937149, -1.427211, 0.443173, 1.019048, 2}	{-2.268407, -0.009700, 0.993232, 0.327200, 3}	{-1.275175, 0.317500, 0.735394, 0.633883, 3}	{-0.539780, 0.951383, 0.883355, 0.648858, 3}	{0.343574, 1.600242, 0.829190, 0.678587, 3}
{-2.084909, -2.450844, 0.562732, 0.764421, 0}	{-1.522176, -1.686422, 0.692462, 0.667127, 0}	{-0.829714, -1.019295, 0.768273, 0.657382, 0}	{-0.061441, -0.361913, 0.931562, 0.187822, 0}	{-0.449866, -1.105897, 0.648110, 0.767265, 1}	{0.198243, -0.338632, 0.751139, 0.723047, 1}	{0.949382, 0.384415, 0.830045, 0.463186, 1}	{1.779427, 0.847601, 0.866530, 0.452628, 1}	{-0.961389, 2.451697, 0.840797, 0.570778, 2}	{-0.120592, -2.977525, 0.669380, 0.665735, 2}	{0.548788, -2.311790, 0.544946, 0.838323, 2}	{1.093734, -1.473467, 0.472015, 0.885205, 2}	{-2.312349, -0.066298, 0.986680, 0.415653, 3}	{-1.325668, 0.349355, 0.707875, 0.538305, 3}	{-0.617793, 0.887660, 0.982907, 0.608781, 3}	{0.365114, 1.496441, 0.765956, 0.699846, 3}
