{-1.343716, -2.080192, 0.250000, 0}	{-0.737920, -1.246483, 0.250000, 0}	{-0.096099, -0.594242, 0.250000, 0}	{0.598413, 0.101028, 0.250000, 0}	{1.430198, 0.599848, 0.250000, 0}	{-0.707978, -0.766139, 0.250000, 1}	{0.363919, -0.618992, 0.250000, 1}	{1.210843, -0.173543, 0.250000, 1}	{1.975534, 0.490721, 0.250000, 1}	{2.677479, 1.084942, 0.250000, 1}	{-0.729178, 2.681337, 0.250000, 2}	{-0.634687, -2.396990, 0.250000, 2}	{-0.101947, -1.550150, 0.250000, 2}	{0.526672, -0.734834, 0.250000, 2}	{1.268868, -0.116050, 0.250000, 2}	{-2.391456, -0.314657, 0.250000, 3}	{-1.378448, 0.047678, 0.250000, 3}	{-0.257681, 0.470248, 0.250000, 3}	{0.717296, 0.877857, 0.250000, 3}	{1.629765, 1.134876, 0.250000, 3}
{-1.343054, -2.096168, 0.250000, 0}	{-0.817749, -1.280344, 0.250000, 0}	{-0.321348, -0.439506, 0.250000, 0}	{0.528488, 0.237360, 0.250000, 0}	{1.421252, 0.856817, 0.250000, 0}	{-0.559583, -1.201314, 0.250000, 1}	{0.332398, -0.726369, 0.250000, 1}	{1.174992, -0.257687, 0.250000, 1}	{2.012897, 0.392187, 0.250000, 1}	{2.690164, 1.230361, 0.250000, 1}	{-1.056325, 2.563237, 0.250000, 2}	{-0.468084, -2.577590, 0.250000, 2}	{0.045887, -1.688174, 0.250000, 2}	{0.897137, -1.093505, 0.250000, 2}	{1.268107, -0.242092, 0.250000, 2}	{-2.242132, -0.061030, 0.250000, 3}	{-1.398040, 0.237453, 0.250000, 3}	{-0.284974, 0.450801, 0.250000, 3}	{0.658916, 0.655840, 0.250000, 3}	{1.662684, 1.024770, 0.250000, 3}
{-1.919524, -2.144887, 0.250000, 0}	{-1.160268, -1.272589, 0.250000, 0}	{-0.428662, -0.550579, 0.250000, 0}	{0.331723, 0.036065, 0.250000, 0}	{1.325983, 0.249485, 0.250000, 0}	{-0.990418, -0.923474, 0.250000, 1}	{-0.056873, -0.407299, 0.250000, 1}	{0.625904, 0.105485, 0.250000, 1}	{1.562274, 0.576045, 0.250000, 1}	{2.556562, 0.969576, 0.250000, 1}	{-1.326627, 2.734172, 0.250000, 2}	{-0.562808, -2.536360, 0.250000, 2}	{0.216655, -1.842058, 0.250000, 2}	{0.945818, -1.144022, 0.250000, 2}	{1.518745, -0.126301, 0.250000, 2}	{-2.205994, -0.421785, 0.250000, 3}	{-1.283437, -0.001439, 0.250000, 3}	{-0.454283, 0.474315, 0.250000, 3}	{0.573961, 0.868572, 0.250000, 3}	{1.436998, 1.348302, 0.250000, 3}
{-1.753566, -2.552784, 0.250000, 0}	{-1.210973, -1.616084, 0.250000, 0}	{-0.526025, -0.927084, 0.250000, 0}	{0.207193, -0.433729, 0.250000, 0}	{1.108367, 0.011363, 0.250000, 0}	{-0.628120, -1.072793, 0.250000, 1}	{0.232963, -0.575502, 0.250000, 1}	{0.913911, 0.123291, 0.250000, 1}	{1.776812, 0.691070, 0.250000, 1}	{2.766159, 0.993355, 0.250000, 1}	{-1.161202, 2.368107, 0.250000, 2}	{-0.460086, -2.923451, 0.250000, 2}	{0.284023, -2.167312, 0.250000, 2}	{0.937149, -1.427211, 0.250000, 2}	{1.380322, -0.408162, 0.250000, 2}	{-2.268407, -0.009700, 0.250000, 3}	{-1.275175, 0.317500, 0.250000, 3}	{-0.539780, 0.951383, 0.250000, 3}	{0.343574, 1.600242, 0.250000, 3}	{1.172764, 2.278828, 0.250000, 3}
{-2.084909, -2.450844, 0.250000, 0}	{-1.522176, -1.686422, 0.250000, 0}	{-0.829714, -1.019295, 0.250000, 0}	{-0.061441, -0.361913, 0.250000, 0}	{0.870120, -0.174092, 0.250000, 0}	{-0.449866, -1.105897, 0.250000, 1}	{0.198243, -0.338632, 0.250000, 1}	{0.949382, 0.384415, 0.250000, 1}	{1.779427, 0.847601, 0.250000, 1}	{2.645958, 1.300229, 0.250000, 1}	{-0.961389, 2.451697, 0.250000, 2}	{-0.120592, -2.977525, 0.250000, 2}	{0.548788, -2.311790, 0.250000, 2}	{1.093734, -1.473467, 0.250000, 2}	{1.565749, -0.588262, 0.250000, 2}	{-2.312349, -0.066298, 0.250000, 3}	{-1.325668, 0.349355, 0.250000, 3}	{-0.617793, 0.887660, 0.250000, 3}	{0.365114, 1.496441, 0.250000, 3}	{1.131070, 2.196287, 0.250000, 3}
{-1.921719, -2.570246, 0.250000, 0}	{-1.217401, -1.809858, 0.250000, 0}	{-0.585036, -1.025967, 0.250000, 0}	{0.303068, -0.557666, 0.250000, 0}	{1.139264, 0.041166, 0.250000, 0}	{0.205777, -1.490759, 0.250000, 1}	{0.742327, -0.613181, 0.250000, 1}	{1.188436, 0.282570, 0.250000, 1}	{1.811916, 1.118764, 0.250000, 1}	{2.088296, 2.061288, 0.250000, 1}	{-0.776103, 1.929566, 0.250000, 2}	{-0.520590, 2.863196, 0.250000, 2}	{0.028637, -2.286292, 0.250000, 2}	{0.687973, -1.452402, 0.250000, 2}	{1.406090, -0.649835, 0.250000, 2}	{-2.392685, -0.251510, 0.250000, 3}	{-1.568975, 0.217771, 0.250000, 3}	{-0.628939, 0.828412, 0.250000, 3}	{0.125926, 1.501509, 0.250000, 3}	{0.939821, 2.182359, 0.250000, 3}
{-2.081708, -2.762784, 0.250000, 0}	{-1.417930, -2.026782, 0.250000, 0}	{-0.672892, -1.356490, 0.250000, 0}	{0.309237, -0.788928, 0.250000, 0}	{1.250321, -0.298585, 0.250000, 0}	{0.197270, -1.492966, 0.250000, 1}	{0.726905, -0.721760, 0.250000, 1}	{1.268678, 0.171023, 0.250000, 1}	{1.608281, 1.192312, 0.250000, 1}	{1.815639, 2.114291, 0.250000, 1}	{-0.752257, 2.050568, 0.250000, 2}	{-0.405703, -2.952988, 0.250000, 2}	{0.120518, -2.104731, 0.250000, 2}	{0.793545, -1.376210, 0.250000, 2}	{1.669170, -0.798481, 0.250000, 2}	{-1.363175, -0.768501, 0.250000, 3}	{-1.002272, -0.026834, 0.250000, 3}	{-0.519107, 0.842627, 0.250000, 3}	{0.147643, 1.435477, 0.250000, 3}	{0.950613, 1.879663, 0.250000, 3}
{-2.204435, -2.311445, 0.250000, 0}	{-1.391363, -1.727625, 0.250000, 0}	{-0.612769, -1.051784, 0.250000, 0}	{0.417040, -0.574631, 0.250000, 0}	{1.398148, -0.223448, 0.250000, 0}	{-0.438426, -1.544295, 0.250000, 1}	{0.097475, -0.699889, 0.250000, 1}	{0.782505, -0.034424, 0.250000, 1}	{1.638511, 0.672652, 0.250000, 1}	{2.068198, 1.645079, 0.250000, 1}	{-0.967247, 2.225223, 0.250000, 2}	{-0.314047, -2.928426, 0.250000, 2}	{0.213989, -2.172217, 0.250000, 2}	{0.796543, -1.388596, 0.250000, 2}	{1.654734, -0.854911, 0.250000, 2}	{-1.308382, -0.495310, 0.250000, 3}	{-0.860935, 0.354507, 0.250000, 3}	{-0.325655, 1.197252, 0.250000, 3}	{0.487816, 1.765881, 0.250000, 3}	{1.498119, 1.853421, 0.250000, 3}
{-2.163032, -2.146521, 0.250000, 0}	{-1.331677, -1.546483, 0.250000, 0}	{-0.483554, -1.011328, 0.250000, 0}	{0.275107, -0.507773, 0.250000, 0}	{1.180086, -0.103927, 0.250000, 0}	{-0.287657, -1.449899, 0.250000, 1}	{0.317022, -0.641360, 0.250000, 1}	{0.974936, 0.122492, 0.250000, 1}	{1.642770, 0.991811, 0.250000, 1}	{2.271442, 1.665545, 0.250000, 1}	{-0.746933, 2.195952, 0.250000, 2}	{-0.441324, -2.817761, 0.250000, 2}	{0.177539, -2.000731, 0.250000, 2}	{0.951912, -1.297223, 0.250000, 2}	{1.790328, -0.750392, 0.250000, 2}	{-2.373900, 0.130165, 0.250000, 3}	{-1.450090, 0.571607, 0.250000, 3}	{-0.630991, 1.113522, 0.250000, 3}	{0.247500, 1.533930, 0.250000, 3}	{1.228533, 1.968086, 0.250000, 3}
{-1.734374, -2.327597, 0.250000, 0}	{-1.130960, -1.541925, 0.250000, 0}	{-0.483369, -0.840568, 0.250000, 0}	{0.162658, -0.113571, 0.250000, 0}	{1.195746, 0.407992, 0.250000, 0}	{-0.131191, -1.464168, 0.250000, 1}	{0.441664, -0.667487, 0.250000, 1}	{1.165691, 0.096845, 0.250000, 1}	{1.703721, 0.813108, 0.250000, 1}	{2.527123, 1.437188, 0.250000, 1}	{-0.743936, 2.169446, 0.250000, 2}	{-0.293134, -2.954129, 0.250000, 2}	{0.139866, -2.127797, 0.250000, 2}	{0.686947, -1.331762, 0.250000, 2}	{1.394950, -0.616390, 0.250000, 2}	{-2.652650, 0.415534, 0.250000, 3}	{-1.804786, 0.909676, 0.250000, 3}	{-0.808876, 1.175833, 0.250000, 3}	{0.145161, 1.574215, 0.250000, 3}	{0.903032, 2.073843, 0.250000, 3}
