{-2.211701, 0.891621, 0.258781, 0.189281, 0}	{0.073193, -1.887170, 0.188695, -0.470079, 1}	{-0.756614, -1.760761, -0.231894, 0.413492, 2}	{-2.417421, 0.274223, -0.538511, -0.121065, 3}	{0.708350, -1.967309, 0.345650, -0.441202, 4}	{-2.319720, -1.297606, -0.363838, -0.383428, 5}	{-1.645494, -1.606064, -0.277781, -0.239989, 6}	{-1.341028, 0.933119, -0.276369, -0.427007, 7}	{1.882528, -0.880670, 0.197841, -0.549458, 8}	{0.811515, -1.464235, 0.443089, -0.174789, 9}	{0.113821, 1.582189, 0.024682, 0.594839, 10}	{1.188529, 1.520702, -0.009188, -0.512707, 11}	{-1.899642, -0.600364, 0.346658, 0.380609, 12}	{-0.222429, -2.261403, -0.026681, 0.598308, 13}	{-0.956991, 1.562344, 0.004562, 0.626492, 14}	{-0.188930, -1.289680, 0.536205, -0.046178, 15}	{-1.231107, 1.861191, 0.587890, -0.035474, 16}	{2.374632, -1.118086, 0.474014, 0.268126, 17}	{2.137913, -2.113813, 0.061539, -0.377735, 18}	{-0.268137, -0.447605, 0.421118, -0.341786, 19}
{-2.201368, 0.670184, 0.296750, 0.345198, 0}	{0.262214, -1.835686, -0.024935, -0.399579, 1}	{-0.722226, -1.677961, -0.361308, 0.287525, 2}	{-2.406629, 0.371743, -0.535527, -0.131692, 3}	{0.889526, -1.992999, 0.068524, -0.540537, 4}	{-2.312894, -1.277333, -0.322693, -0.414696, 5}	{-1.474136, -1.562114, -0.451052, -0.247279, 6}	{-1.300290, 1.035192, -0.261600, -0.451574, 7}	{2.015971, -0.910091, 0.043527, -0.452153, 8}	{0.791608, -1.626915, 0.507523, -0.069029, 9}	{0.069838, 1.596139, -0.045344, 0.521533, 10}	{1.254997, 1.531340, -0.104099, -0.563380, 11}	{-1.874001, -0.711670, 0.184081, 0.471055, 12}	{-0.161720, -2.122846, 0.049901, 0.525751, 13}	{-1.021895, 1.531392, 0.120349, 0.714772, 14}	{-0.036340, -1.231277, 0.417907, -0.206151, 15}	{-1.232442, 1.799358, 0.542408, 0.063272, 16}	{2.330977, -1.153675, 0.391991, 0.274337, 17}	{2.053137, -2.080534, 0.081396, -0.461831, 18}	{-0.232758, -0.429211, 0.353486, -0.282105, 19}
{-2.328344, 0.705960, 0.435665, 0.171182, 0}	{0.381691, -1.784131, -0.057985, -0.519076, 1}	{-0.707640, -1.737434, -0.503498, 0.297083, 2}	{-2.456833, 0.418362, -0.539690, -0.211775, 3}	{0.894418, -1.940923, 0.015378, -0.508153, 4}	{2.127517, -1.387807, 0.275275, -0.329308, 5}	{-1.498022, -1.643603, -0.504005, -0.111140, 6}	{-1.431172, 1.091119, -0.169647, -0.428364, 7}	{1.815787, -0.910220, -0.075888, -0.596142, 8}	{0.777437, -1.637755, 0.485120, -0.028245, 9}	{0.118778, 1.656850, -0.072701, 0.484423, 10}	{1.372316, 1.597490, -0.193780, -0.496817, 11}	{-1.753302, -0.727039, 0.036024, 0.523105, 12}	{-0.243544, -2.131390, 0.118053, 0.511894, 13}	{-0.947336, 1.541071, 0.050390, 0.874284, 14}	{-0.011052, -1.228679, 0.486625, -0.139541, 15}	{-1.268657, 1.808294, 0.597708, -0.010445, 16}	{-2.248101, -1.242378, 0.230288, 0.315774, 17}	{2.044984, -2.091400, 0.063252, -0.502900, 18}	{-0.150309, -0.375619, 0.370206, -0.332249, 19}
{-2.381054, 0.690760, 0.511467, 0.244214, 0}	{0.323963, -1.750549, 0.093047, -0.551874, 1}	{-0.955878, -1.740324, -0.405214, 0.378805, 2}	{2.452672, 0.399999, -0.464740, -0.330759, 3}	{0.852186, -1.896665, 0.084276, -0.499261, 4}	{2.199349, -1.391120, 0.216745, -0.294399, 5}	{-1.469741, -1.638665, -0.480869, 0.048065, 6}	{-1.226316, 1.156522, -0.249889, -0.477389, 7}	{1.805368, -1.030090, -0.106998, -0.461552, 8}	{0.878680, -1.531360, 0.381557, -0.237186, 9}	{0.051093, 1.683828, -0.023214, 0.369048, 10}	{1.287151, 1.562225, 0.001635, -0.505228, 11}	{-1.462482, -0.712473, -0.230722, 0.453198, 12}	{-0.208100, -2.191621, 0.105265, 0.518726, 13}	{-1.111951, 1.528852, 0.173701, 0.894564, 14}	{-0.018509, -1.294605, 0.391663, -0.040201, 15}	{-1.340851, 1.838123, 0.709771, -0.143700, 16}	{-2.302617, -0.967941, 0.379714, -0.025408, 17}	{2.118375, -2.029109, 0.029054, -0.451823, 18}	{-0.243654, -0.296405, 0.499673, -0.284653, 19}
{2.233976, 0.579460, 0.521972, 0.180856, 0}	{0.266789, -1.812518, 0.167700, -0.252369, 1}	{-0.918495, -1.753420, -0.390744, 0.389385, 2}	{-2.068511, 0.261778, -0.580166, -0.039468, 3}	{0.744246, -1.994026, 0.161742, -0.541282, 4}	{2.304705, -1.313760, 0.179855, -0.345629, 5}	{-1.594819, -1.695338, -0.332285, 0.105906, 6}	{-1.221365, 1.127840, -0.262889, -0.569498, 7}	{1.771080, -0.985685, 0.060653, -0.444335, 8}	{0.969941, -1.590325, 0.232976, -0.415986, 9}	{0.184696, 1.677327, -0.116348, 0.538706, 10}	{1.285462, 1.684376, 0.055745, -0.636173, 11}	{-1.556734, -0.738617, -0.114842, 0.527346, 12}	{-0.238707, -2.201868, 0.143504, 0.466382, 13}	{-0.949542, 1.577916, 0.232925, 0.638826, 14}	{0.047663, -1.170572, 0.351319, -0.351966, 15}	{-1.119310, 1.918613, 0.505151, -0.156204, 16}	{-2.395178, -0.916582, 0.528060, -0.168190, 17}	{2.233830, -1.929209, -0.082409, -0.542294, 18}	{-0.252406, -0.386583, 0.508446, -0.057004, 19}
{2.300767, 0.622687, 0.358176, 0.222022, 0}	{0.167053, -1.731143, 0.279501, -0.327721, 1}	{-0.937004, -1.610330, -0.352362, 0.233601, 2}	{-2.168220, 0.229385, -0.479687, 0.106391, 3}	{0.684640, -2.009402, 0.251778, -0.508375, 4}	{2.188901, -1.238584, 0.214143, -0.469483, 5}	{-1.634889, -1.802514, -0.313958, 0.116299, 6}	{-1.253709, 1.075375, -0.174101, -0.497899, 7}	{1.821059, -0.931674, 0.015962, -0.509031, 8}	{1.133016, -1.583369, 0.126252, -0.367642, 9}	{0.202675, 1.643197, -0.263776, 0.482799, 10}	{1.396525, 1.570677, -0.065926, -0.559900, 11}	{-1.634969, -0.726444, -0.103057, 0.557926, 12}	{-0.210803, -2.331957, 0.082683, 0.594987, 13}	{-1.063317, 1.664485, 0.419564, 0.475133, 14}	{0.190645, -1.087315, 0.193367, -0.398490, 15}	{-1.175509, 1.995991, 0.607376, -0.234668, 16}	{-2.356454, -0.893943, 0.452869, -0.333901, 17}	{2.447850, -1.990715, -0.324076, -0.432196, 18}	{-0.362510, -0.410549, 0.555092, -0.130211, 19}
{2.237736, 0.626918, 0.378390, 0.316298, 0}	{0.155599, -1.778789, 0.344089, -0.476914, 1}	{-0.834546, -1.626844, -0.430918, 0.280210, 2}	{-2.066846, 0.121388, -0.527684, 0.272148, 3}	{0.708417, -1.785228, 0.123110, -0.554858, 4}	{2.145818, -1.111267, 0.261297, -0.499983, 5}	{-1.576526, -1.778219, -0.509813, -0.085279, 6}	{-1.268432, 1.035413, -0.226258, -0.565671, 7}	{1.830846, -0.963795, 0.041591, -0.451409, 8}	{1.192624, -1.545687, 0.106023, -0.381453, 9}	{0.158505, 1.718747, -0.077256, 0.431705, 10}	{1.448671, 1.475153, -0.120822, -0.548943, 11}	{-1.463832, -0.531033, -0.201564, 0.396431, 12}	{-0.204733, -2.450172, 0.037500, 0.575423, 13}	{-0.907058, 1.620724, 0.229351, 0.713548, 14}	{0.302087, -0.993172, 0.044005, -0.476858, 15}	{-1.057572, 1.952257, 0.506366, -0.087685, 16}	{-2.282763, -0.956989, 0.257495, -0.266033, 17}	{2.455650, -2.099703, -0.346802, -0.350427, 18}	{-0.333188, -0.492760, 0.443115, -0.087118, 19}
{2.068352, 0.642137, 0.504138, 0.402336, 0}	{0.147437, -1.926389, 0.192700, -0.585074, 1}	{-0.777582, -1.459101, -0.515623, -0.013852, 2}	{-2.237996, 0.096167, -0.398145, 0.322542, 3}	{0.677420, -1.644538, 0.012610, -0.481063, 4}	{2.258052, -1.087791, 0.212558, -0.549220, 5}	{-1.699188, -1.865124, -0.432251, 0.100865, 6}	{-1.168754, 0.996522, -0.344930, -0.471728, 7}	{1.911359, -0.971983, 0.013049, -0.521594, 8}	{1.259426, -1.402823, -0.051433, -0.547657, 9}	{0.230865, 1.786466, -0.246617, 0.464553, 10}	{1.488675, 1.418502, -0.239857, -0.498952, 11}	{-1.569947, -0.599110, -0.215798, 0.534915, 12}	{-0.297044, -2.291303, 0.007478, 0.518183, 13}	{-0.885199, 1.618013, 0.126312, 0.887637, 14}	{0.204489, -1.026780, 0.017111, -0.393284, 15}	{-1.106847, 1.958482, 0.640417, -0.119561, 16}	{-2.254392, -0.815138, 0.234048, -0.401247, 17}	{-2.481170, -2.074041, -0.278101, -0.416455, 18}	{-0.435185, -0.423429, 0.555960, -0.213669, 19}
{2.036940, 0.674187, 0.512319, 0.207940, 0}	{0.110158, -2.005542, 0.228852, -0.422218, 1}	{-0.699608, -1.349304, -0.419109, -0.274108, 2}	{-2.204773, 0.111019, -0.458106, 0.303115, 3}	{0.882918, -1.594995, -0.079916, -0.563472, 4}	{2.215990, -1.225155, 0.327590, -0.318071, 5}	{-1.755592, -1.967869, -0.422438, 0.173774, 6}	{-1.198131, 0.995259, -0.196157, -0.527505, 7}	{1.848459, -0.855465, 0.062289, -0.559914, 8}	{1.217746, -1.473312, -0.105423, -0.491649, 9}	{0.278739, 1.824779, -0.185819, 0.473066, 10}	{1.445703, 1.459775, -0.196118, -0.422542, 11}	{-1.645701, -0.659377, -0.183033, 0.451948, 12}	{-0.532645, -2.139359, 0.244061, 0.395496, 13}	{-0.872195, 1.633849, 0.139617, 0.788171, 14}	{0.101675, -0.984799, 0.181734, -0.625219, 15}	{-1.073660, 1.992506, 0.573412, -0.170794, 16}	{-2.302487, -0.832100, 0.334608, -0.284764, 17}	{2.439228, -2.154725, -0.309069, -0.363764, 18}	{-0.322091, -0.400649, 0.431822, -0.271125, 19}
{1.964802, 0.714992, 0.557013, 0.019829, 0}	{0.078212, -2.064403, 0.240651, -0.432213, 1}	{-0.726161, -1.301043, -0.332473, -0.280297, 2}	{-2.230149, 0.018381, -0.337824, 0.392417, 3}	{0.707015, -1.638681, 0.156387, -0.447745, 4}	{2.266154, -1.291285, 0.409657, -0.183555, 5}	{-1.834675, -1.975395, -0.412377, 0.165028, 6}	{-1.224478, 0.889138, -0.084624, -0.522534, 7}	{1.906817, -0.854187, -0.156522, -0.520367, 8}	{1.298026, -1.451824, -0.202299, -0.438964, 9}	{0.028927, 1.841899, -0.003851, 0.387632, 10}	{1.487649, 1.560067, -0.247128, -0.516517, 11}	{-1.504777, -0.622518, -0.286205, 0.328993, 12}	{-0.444994, -2.300645, 0.245782, 0.518615, 13}	{-0.777506, 1.478390, 0.122400, 0.890781, 14}	{0.090226, -1.024719, 0.263089, -0.448936, 15}	{-1.040876, 1.859491, 0.668476, -0.186938, 16}	{-2.166393, -0.749113, 0.278142, -0.488386, 17}	{-2.477210, -2.115747, -0.353405, -0.379453, 18}	{-0.383111, -0.387822, 0.469553, -0.218061, 19}
